team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
ARI	1	0	0	0	0	1	0	0	0	0	0	0	44
ATL	1	4	0	0	0	1	0	0	0	0	0	0	27
BAL	1	3	1	0	0	1	0	0	0	0	0	0	9
BUF	1	7	3	0	0	0	0	0	0	0	0	0	10
CAR	1	1	0	0	0	0	0	0	0	0	0	0	26
CHI	1	2	1	0	0	1	0	0	0	0	0	0	10
CIN	1	1	0	0	0	0	0	0	0	0	0	0	23
CLE	1	4	1	0	0	0	0	0	0	0	0	0	24
DAL	1	2	1	0	0	0	0	0	0	0	0	0	19
DEN	1	2	0	0	0	1	0	0	0	0	0	0	17
DET	1	1	0	0	0	0	0	0	0	0	0	0	38
GB	1	1	0	0	0	0	0	0	0	0	0	0	23
HOU	1	2	1	0	0	1	0	0	0	0	0	0	20
IND	1	3	0	0	0	1	0	0	0	0	0	0	20
JAX	1	1	2	0	0	1	0	0	0	0	0	0	28
KC	1	3	0	0	0	0	0	0	0	0	0	0	21
LA	1	2	2	0	0	2	0	0	0	0	0	0	31
LAC	1	6	3	0	0	0	0	0	0	0	0	0	19
LV	1	0	0	0	0	0	0	0	0	0	0	0	24
MIA	1	2	1	0	0	2	1	0	0	0	0	0	7
MIN	1	4	1	0	0	1	0	0	0	0	0	0	7
NE	1	3	0	0	0	0	0	0	0	0	0	0	20
NO	1	0	0	0	0	2	0	0	0	0	1	0	26
NYG	1	1	0	0	0	1	0	0	0	0	0	0	20
NYJ	1	2	1	0	0	0	0	0	0	0	0	0	24
PHI	1	1	1	0	1	0	0	0	0	0	0	0	35
PIT	1	7	4	0	1	1	0	0	0	1	0	0	20
SEA	1	2	0	0	0	2	0	0	0	0	0	0	16
SF	1	2	1	0	0	0	0	0	0	0	0	0	19
TB	1	4	1	0	0	0	0	0	0	0	0	0	3
TEN	1	5	1	0	0	1	0	0	0	0	0	0	21
WAS	1	2	1	0	0	0	0	0	0	0	0	0	22
ARI	2	1	0	0	0	1	1	0	0	0	0	0	23
ATL	2	1	2	1	0	1	0	1	1	0	0	0	31
BAL	2	1	2	0	0	0	0	1	0	0	0	0	42
BUF	2	2	2	0	1	2	0	0	0	0	0	0	7
CAR	2	3	0	0	0	0	0	0	0	0	0	0	19
CHI	2	3	0	0	0	1	0	0	0	0	0	0	27
CIN	2	1	0	0	0	1	0	0	0	0	0	0	20
CLE	2	2	0	0	0	1	0	0	0	0	0	0	31
DAL	2	6	0	0	0	0	0	0	0	0	0	0	17
DEN	2	3	0	0	0	0	0	0	0	0	0	0	9
DET	2	5	1	1	0	0	0	0	0	0	0	0	27
GB	2	3	1	0	0	0	0	0	0	0	0	0	10
HOU	2	3	1	0	0	0	0	0	0	0	0	0	16
IND	2	0	0	0	0	0	0	0	0	0	0	0	24
JAX	2	5	3	0	0	0	0	0	0	0	0	0	0
KC	2	2	1	0	1	0	0	0	0	0	0	0	24
LA	2	3	2	0	0	1	0	0	0	0	0	0	27
LAC	2	1	0	0	0	0	0	0	0	0	0	0	27
LV	2	1	1	0	0	0	0	0	0	0	0	0	29
MIA	2	0	0	0	0	0	0	0	0	0	0	0	38
MIN	2	3	1	0	0	0	0	0	0	0	1	0	24
NE	2	3	1	0	0	1	0	0	0	0	0	0	14
NO	2	1	0	0	0	1	0	0	0	0	0	0	20
NYG	2	2	0	0	0	2	0	0	0	0	0	0	16
NYJ	2	1	1	0	0	0	0	0	0	0	0	0	30
PHI	2	2	3	0	0	0	0	0	0	0	0	0	7
PIT	2	0	1	0	0	0	0	0	0	0	0	0	17
SEA	2	1	0	0	0	0	0	1	0	0	1	0	27
SF	2	2	2	0	0	1	0	0	0	0	0	0	7
TB	2	6	3	0	1	2	0	0	0	0	0	0	10
TEN	2	1	0	0	0	0	0	0	0	0	0	0	41
WAS	2	3	0	0	0	0	0	0	0	0	0	0	36
ARI	3	1	0	0	0	1	0	0	0	0	0	0	20
ATL	3	2	1	0	0	0	0	0	0	0	0	0	23
BAL	3	3	3	0	0	1	0	0	0	0	0	0	26
BUF	3	2	0	1	0	0	0	0	0	0	0	0	21
CAR	3	1	2	0	0	1	1	0	0	0	1	0	14
CHI	3	1	2	0	0	0	0	0	0	0	0	0	20
CIN	3	4	2	0	0	2	0	0	0	0	0	0	12
CLE	3	1	0	0	0	1	1	0	0	0	0	0	17
DAL	3	5	1	0	0	0	0	0	0	0	1	0	16
