RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	AGE	SOS SEASON	ECR VS. ADP
279	13	Josh Reynolds	DEN	WR107	14	29	2 out of 5 stars	-
280	13	Tutu Atwell	LAR	WR108	6	24	3 out of 5 stars	27
281	13	John Metchie III	HOU	WR109	14	24	3 out of 5 stars	32
282	13	Jason Myers	SEA	K8	10	33	5 out of 5 stars	-
283	13	Samaje Perine	DEN	RB78	14	28	4 out of 5 stars	-41
284	13	Isaiah Davis	NYJ	RB79	12	22	2 out of 5 stars	-
285	13	Demarcus Robinson	LAR	WR110	6	29	3 out of 5 stars	-33
286	13	Michael Carter	ARI	RB80	11	25	2 out of 5 stars	-
287	13	Kadarius Toney	KC	WR111	6	25	3 out of 5 stars	-
288	13	Cam Akers	HOU	RB81	14	25	3 out of 5 stars	23
289	13	Jake Moody	SF	K9	9	24	1 out of 5 stars	-33
290	13	Daniel Carlson	LV	K10	10	29	2 out of 5 stars	4
291	13	Luke Schoonmaker	DAL	TE41	7	25	2 out of 5 stars	-
292	13	Matt Gay	IND	K11	14	30	5 out of 5 stars	3
293	13	Zach Ertz	WAS	TE42	14	33	2 out of 5 stars	10
294	13	Brandon Aubrey	DAL	K12	7	29	2 out of 5 stars	-48
295	13	Chris Rodriguez Jr.	WAS	RB82	14	23	3 out of 5 stars	-20
296	13	Dustin Hopkins	CLE	K13	10	33	2 out of 5 stars	-
297	13	Jacksonville Jaguars	JAC	DST13	12	-	4 out of 5 stars	18
298	13	Justice Hill	BAL	RB83	14	26	3 out of 5 stars	-72
299	13	Hayden Hurst	LAC	TE43	5	31	3 out of 5 stars	3
300	13	Jalen Tolbert	DAL	WR112	7	25	3 out of 5 stars	-80
301	13	Michael Thomas	FA	WR113	-	31	-	-
302	13	Miami Dolphins	MIA	DST14	6	-	2 out of 5 stars	-
303	13	Tre Tucker	LV	WR114	10	23	3 out of 5 stars	-46
304	13	Colby Parkinson	LAR	TE44	6	25	3 out of 5 stars	-15
305	13	Green Bay Packers	GB	DST15	10	-	1 out of 5 stars	7
306	13	Los Angeles Chargers	LAC	DST16	5	-	5 out of 5 stars	-
307	13	Jordan Mason	SF	RB84	9	25	2 out of 5 stars	-75
308	13	Ka'imi Fairbairn	HOU	K14	14	30	2 out of 5 stars	-49
309	14	Tyler Scott	CHI	WR115	7	22	4 out of 5 stars	-
310	14	Jeff Wilson Jr.	MIA	RB85	6	28	3 out of 5 stars	-
311	14	JuJu Smith-Schuster	FA	WR116	-	27	-	-19
312	14	Indianapolis Colts	IND	DST17	14	-	4 out of 5 stars	-
313	14	Eric Gray	NYG	RB86	11	24	3 out of 5 stars	-50
314	14	Washington Commanders	WAS	DST18	14	-	5 out of 5 stars	-
315	14	Aidan O'Connell	LV	QB37	10	26	2 out of 5 stars	-
316	14	New Orleans Saints	NO	DST19	12	-	5 out of 5 stars	-
317	14	Jared Wiley	KC	TE45	6	23	3 out of 5 stars	-95
318	14	Kareem Hunt	FA	RB87	-	29	-	-
319	14	Cameron Dicker	LAC	K15	5	24	3 out of 5 stars	-64
320	14	Greg Joseph	GB	K16	10	30	5 out of 5 stars	-
321	14	Johnny Wilson	PHI	WR117	5	23	2 out of 5 stars	-35
322	14	Bo Melton	GB	WR118	10	25	4 out of 5 stars	-38
323	14	Greg Zuerlein	NYJ	K17	12	36	4 out of 5 stars	-
324	14	Los Angeles Rams	LAR	DST20	6	-	2 out of 5 stars	-
325	14	Chicago Bears	CHI	DST21	7	-	3 out of 5 stars	-
326	14	Minnesota Vikings	MIN	DST22	6	-	3 out of 5 stars	-
327	14	Emari Demercado	ARI	RB88	11	25	2 out of 5 stars	-39
328	14	Blake Watson	DEN	RB89	14	24	4 out of 5 stars	-6
329	14	Irv Smith Jr.	KC	TE46	6	26	3 out of 5 stars	-
330	14	Donovan Peoples-Jones	DET	WR119	5	25	4 out of 5 stars	-
331	14	Jamari Thrash	CLE	WR120	10	23	3 out of 5 stars	-
332	14	Pierre Strong Jr.	CLE	RB90	10	25	4 out of 5 stars	-
333	14	Jacoby Brissett	NE	QB38	14	31	3 out of 5 stars	-
334	14	Kylen Granson	IND	TE47	14	26	3 out of 5 stars	-
335	14	Cincinnati Bengals	CIN	DST23	12	-	5 out of 5 stars	-
336	14	Mac Jones	JAC	QB39	12	25	5 out of 5 stars	-
337	14	Logan Thomas	SF	TE48	9	33	4 out of 5 stars	-
338	14	Wil Lutz	DEN	K18	14	30	2 out of 5 stars	-
339	14	Arizona Cardinals	ARI	DST24	11	-	3 out of 5 stars	-
340	14	Kenny Pickett	PHI	QB40	5	26	2 out of 5 stars	-
341	14	D'Ernest Johnson	JAC	RB91	12	28	2 out of 5 stars	-
342	14	Trey Sermon	IND	RB92	14	25	2 out of 5 stars	-94
343	14	Chris Boswell	PIT	K19	9	33	4 out of 5 stars	-
344	14	Jaheim Bell	NE	TE49	14	23	3 out of 5 stars	-23
345	14	Sean Tucker	TB	RB93	11	22	5 out of 5 stars	-
346	14	Will Dissly	LAC	TE50	5	28	3 out of 5 stars	-
347	14	Tyquan Thornton	NE	WR121	14	24	3 out of 5 stars	-
348	14	Calvin Austin III	PIT	WR122	9	25	1 out of 5 stars	-55
349	14	Brandon McManus	FA	K20	-	33	-	-
350	14	Hendon Hooker	DET	QB41	5	26	4 out of 5 stars	-
351	14	Ainias Smith	PHI	WR123	5	23	2 out of 5 stars	-69
352	14	Jawhar Jordan	HOU	RB94	14	25	3 out of 5 stars	-42
353	14	Seattle Seahawks	SEA	DST25	10	-	4 out of 5 stars	-
354	14	Nick Folk	TEN	K21	5	39	5 out of 5 stars	-
355	14	Donald Parham Jr.	LAC	TE51	5	27	3 out of 5 stars	-
356	14	Darnell Washington	PIT	TE52	9	23	3 out of 5 stars	-
357	14	Cairo Santos	CHI	K22	7	32	5 out of 5 stars	-
358	14	Desmond Ridder	ARI	QB42	11	25	2 out of 5 stars	-
359	14	Detroit Lions	DET	DST26	5	-	0 out of 5 stars	-
360	14	Casey Washington	ATL	WR124	12	23	4 out of 5 stars	-
361	14	Carolina Panthers	CAR	DST27	11	-	4 out of 5 stars	-
362	14	Spencer Rattler	NO	QB43	12	23	4 out of 5 stars	-92
363	14	Matt Prater	ARI	K23	11	40	2 out of 5 stars	-
364	14	Jake Browning	CIN	QB44	12	28	2 out of 5 stars	-
365	14	Ryan Flournoy	DAL	WR125	7	24	3 out of 5 stars	-65
366	14	Michael Badgley	DET	K24	5	29	2 out of 5 stars	-
367	14	New York Giants	NYG	DST28	11	-	3 out of 5 stars	-
368	14	Trey Lance	DAL	QB45	7	24	2 out of 5 stars	-
369	14	Allen Lazard	NYJ	WR126	12	28	4 out of 5 stars	-
370	14	Jauan Jennings	SF	WR127	9	27	2 out of 5 stars	-
371	14	Frank Gore Jr.	BUF	RB95	12	22	2 out of 5 stars	-140
372	14	Jerick McKinnon	FA	RB96	-	32	-	-
373	14	Parker Washington	JAC	WR128	12	22	4 out of 5 stars	-
374	14	Jalen Coker	CAR	WR129	11	22	5 out of 5 stars	-68
375	15	Hunter Renfrow	FA	WR130	-	28	-	-
376	15	Tennessee Titans	TEN	DST29	5	-	3 out of 5 stars	-
377	15	Jeremy Ruckert	NYJ	TE53	12	24	3 out of 5 stars	-
378	15	Terrace Marshall Jr.	CAR	WR131	11	24	5 out of 5 stars	-
379	15	Noah Gray	KC	TE54	6	25	3 out of 5 stars	-
380	15	Ryan Succop	FA	K25	-	37	-	-
381	15	Isaiah Spiller	LAC	RB97	5	23	4 out of 5 stars	-
382	15	Graham Gano	NYG	K26	11	37	1 out of 5 stars	-
383	15	Dalvin Cook	FA	RB98	-	29	-	-110
384	15	Deuce Vaughn	DAL	RB99	7	22	3 out of 5 stars	-64
385	15	Jordan Whittington	LAR	WR132	6	23	3 out of 5 stars	-140
386	15	Adam Trautman	DEN	TE55	14	27	2 out of 5 stars	-
387	15	Jimmy Garoppolo	LAR	QB46	6	32	4 out of 5 stars	-
388	15	Brevin Jordan	HOU	TE56	14	24	2 out of 5 stars	-
389	15	Deneric Prince	KC	RB100	6	24	3 out of 5 stars	-160
390	15	Marquez Valdes-Scantling	BUF	WR133	12	29	2 out of 5 stars	-
391	15	Houston Texans	HOU	DST30	14	-	2 out of 5 stars	-
392	15	Chase Claypool	FA	WR134	-	26	-	-
393	15	Tip Reiman	ARI	TE57	11	22	5 out of 5 stars	-85
394	15	Dillon Johnson	FA	RB101	-	23	-	-
395	15	Charlie Jones	CIN	WR135	12	25	2 out of 5 stars	-
396	15	Zach Wilson	DEN	QB47	14	25	2 out of 5 stars	-
397	15	Parris Campbell	PHI	WR136	5	27	2 out of 5 stars	-
398	15	Brett Maher	FA	K27	-	34	-	-
399	15	AJ Barner	SEA	TE58	10	22	3 out of 5 stars	-
400	15	Tanner Hudson	CIN	TE59	12	29	3 out of 5 stars	-
401	15	Jordan Travis	NYJ	QB48	12	24	2 out of 5 stars	-83
402	15	Xavier Hutchinson	HOU	WR137	14	24	3 out of 5 stars	-
403	15	Ryan Tannehill	FA	QB49	-	36	-	-
404	15	Will Mallory	IND	TE60	14	25	3 out of 5 stars	-
405	15	Robert Woods	HOU	WR138	14	32	3 out of 5 stars	-
406	15	Bub Means	NO	WR139	12	23	3 out of 5 stars	-87
407	15	Cole Turner	WAS	TE61	14	24	2 out of 5 stars	-
408	15	Zach Evans	LAR	RB102	6	23	3 out of 5 stars	-
409	15	Jase McClellan	ATL	RB103	12	22	4 out of 5 stars	-
410	15	Isaiah Hodgins	NYG	WR140	11	25	3 out of 5 stars	-
411	15	Cody Schrader	SF	RB104	9	24	2 out of 5 stars	-
412	15	Las Vegas Raiders	LV	DST31	10	-	3 out of 5 stars	-
413	15	Riley Patterson	FA	K28	-	24	-	-
414	15	Foster Moreau	NO	TE62	12	27	4 out of 5 stars	-
415	15	Davis Allen	LAR	TE63	6	23	3 out of 5 stars	-
416	15	Blake Grupe	NO	K29	12	25	4 out of 5 stars	-
417	15	Drew Lock	NYG	QB50	11	27	2 out of 5 stars	-
418	15	Jameis Winston	CLE	QB51	10	30	4 out of 5 stars	-
419	15	Joshua Kelley	NYG	RB105	11	26	3 out of 5 stars	-
420	15	Jarrett Stidham	DEN	QB52	14	28	2 out of 5 stars	-
421	15	Allen Robinson II	NYG	WR141	11	31	3 out of 5 stars	-
422	15	Van Jefferson	PIT	WR142	9	28	1 out of 5 stars	-
423	15	Tommy Tremble	CAR	TE64	11	24	3 out of 5 stars	-
424	15	Jake Bobo	SEA	WR143	10	26	3 out of 5 stars	-
425	15	Josh Oliver	MIN	TE65	6	27	2 out of 5 stars	-
426	15	Durham Smythe	MIA	TE66	6	29	2 out of 5 stars	-
427	15	Randy Bullock	FA	K30	-	34	-	-
428	15	Tim Patrick	DEN	WR144	14	30	2 out of 5 stars	-
429	15	Xavier Gipson	NYJ	WR145	12	23	4 out of 5 stars	-142
430	15	Atlanta Falcons	ATL	DST32	12	-	4 out of 5 stars	-
431	15	Joe Milton III	NE	QB53	14	24	3 out of 5 stars	-140
432	15	Joe Flacco	IND	QB54	14	39	5 out of 5 stars	-
433	15	Joshua Dobbs	SF	QB55	9	29	2 out of 5 stars	-
434	15	Mecole Hardman Jr.	KC	WR146	6	26	3 out of 5 stars	-
435	15	David Bell	CLE	WR147	10	23	3 out of 5 stars	-
436	15	Mason Rudolph	TEN	QB56	5	29	5 out of 5 stars	-
437	16	Kyle Philips	TEN	WR148	5	25	4 out of 5 stars	-
438	16	Justin Watson	KC	WR149	6	28	3 out of 5 stars	-
439	16	Kenny McIntosh	SEA	RB106	10	24	4 out of 5 stars	-
440	16	Dyami Brown	WAS	WR150	14	24	3 out of 5 stars	-
441	16	Zack Kuntz	NYJ	TE67	12	25	3 out of 5 stars	-
442	16	Bailey Zappe	NE	QB57	14	25	3 out of 5 stars	-
443	16	Keaontay Ingram	KC	RB107	6	24	3 out of 5 stars	-
444	16	Louis Rees-Zammit	KC	RB108	6	23	3 out of 5 stars	-209
445	16	Charlie Kolar	BAL	TE68	14	25	3 out of 5 stars	-
446	16	Nelson Agholor	BAL	WR151	14	31	3 out of 5 stars	-
447	16	Dallin Holker	NO	TE69	12	24	4 out of 5 stars	-131
448	16	Justyn Ross	KC	WR152	6	24	3 out of 5 stars	-
449	16	Cordarrelle Patterson	PIT	RB109	9	33	4 out of 5 stars	-
450	16	Kyle Trask	TB	QB58	11	26	2 out of 5 stars	-
451	16	Tyson Bagent	CHI	QB59	7	24	4 out of 5 stars	-
452	16	Mike White	FA	QB60	-	29	-	-
453	16	Carson Wentz	KC	QB61	6	31	3 out of 5 stars	-
454	16	Chase Edmonds	TB	RB110	11	28	5 out of 5 stars	-
455	16	Kalif Raymond	DET	WR153	5	30	4 out of 5 stars	-
456	16	Brenton Strange	JAC	TE70	12	23	3 out of 5 stars	-
457	16	Trenton Irwin	CIN	WR154	12	28	2 out of 5 stars	-
458	16	Brevyn Spann-Ford	DAL	TE71	7	24	2 out of 5 stars	-
459	16	Harrison Bryant	LV	TE72	10	26	4 out of 5 stars	-
460	16	Tyler Huntley	CLE	QB62	10	26	4 out of 5 stars	-
461	16	Eddy Pineiro	CAR	K31	11	28	3 out of 5 stars	-
462	16	Leonard Fournette	FA	RB111	-	29	-	-
463	16	Sterling Shepard	TB	WR155	11	31	3 out of 5 stars	-
464	16	Elijah Higgins	ARI	TE73	11	23	5 out of 5 stars	-
465	16	Johnny Mundt	MIN	TE74	6	29	2 out of 5 stars	-
466	16	Ronnie Rivers	LAR	RB112	6	25	3 out of 5 stars	-
467	16	Tyrod Taylor	NYJ	QB63	12	35	2 out of 5 stars	-
468	16	Andy Dalton	CAR	QB64	11	36	5 out of 5 stars	-
469	16	Taylor Heinicke	ATL	QB65	12	31	3 out of 5 stars	-
470	16	Marcus Mariota	WAS	QB66	14	30	3 out of 5 stars	-
471	16	Dorian Thompson-Robinson	CLE	QB67	10	24	4 out of 5 stars	-
