RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	SOS SEASON	ECR VS. ADP
91	6	Jaylen Warren	PIT	RB30	9	4 out of 5 stars	-7
92	6	Jake Ferguson	DAL	TE9	7	2 out of 5 stars	-11
93	6	Tyjae Spears	TEN	RB31	5	3 out of 5 stars	6
94	6	Caleb Williams	CHI	QB13	7	4 out of 5 stars	4
95	6	Rome Odunze	CHI	WR42	7	4 out of 5 stars	-2
96	6	David Njoku	CLE	TE10	10	3 out of 5 stars	-11
97	6	Zack Moss	CIN	RB32	12	3 out of 5 stars	-15
98	6	Courtland Sutton	DEN	WR43	14	2 out of 5 stars	14
99	6	Tua Tagovailoa	MIA	QB14	6	2 out of 5 stars	4
100	6	Hollywood Brown	KC	WR44	6	3 out of 5 stars	-5
101	7	Jared Goff	DET	QB15	5	4 out of 5 stars	3
102	7	Jonathon Brooks	CAR	RB33	11	4 out of 5 stars	-8
103	7	Chase Brown	CIN	RB34	12	3 out of 5 stars	5
104	7	Jordan Addison	MIN	WR45	6	3 out of 5 stars	-3
105	7	Brian Thomas Jr.	JAC	WR46	12	4 out of 5 stars	11
106	7	Trevor Lawrence	JAC	QB16	12	5 out of 5 stars	14
107	7	Brock Bowers	LV	TE11	10	4 out of 5 stars	-11
108	7	Ladd McConkey	LAC	WR47	5	3 out of 5 stars	-3
109	7	Dallas Goedert	PHI	TE12	5	4 out of 5 stars	-2
110	7	Gus Edwards	LAC	RB35	5	4 out of 5 stars	1
111	7	Austin Ekeler	WAS	RB36	14	3 out of 5 stars	-19
112	7	Jerome Ford	CLE	RB37	10	4 out of 5 stars	2
113	7	Jameson Williams	DET	WR48	5	4 out of 5 stars	2
114	7	Keon Coleman	BUF	WR49	12	2 out of 5 stars	-1
115	7	Tyler Lockett	SEA	WR50	10	3 out of 5 stars	16
116	7	Ezekiel Elliott	DAL	RB38	7	3 out of 5 stars	-7
117	7	Kirk Cousins	ATL	QB17	12	3 out of 5 stars	15
118	7	Justin Herbert	LAC	QB18	5	2 out of 5 stars	4
119	7	Nick Chubb	CLE	RB39	10	4 out of 5 stars	-31
120	7	Jakobi Meyers	LV	WR51	10	3 out of 5 stars	21
121	7	Pat Freiermuth	PIT	TE13	9	3 out of 5 stars	7
122	7	Dalton Schultz	HOU	TE14	14	2 out of 5 stars	-1
123	7	Matthew Stafford	LAR	QB19	6	4 out of 5 stars	20
124	7	Joshua Palmer	LAC	WR52	5	3 out of 5 stars	27
125	7	Romeo Doubs	GB	WR53	10	4 out of 5 stars	11
126	7	Rashid Shaheed	NO	WR54	12	3 out of 5 stars	23
127	7	Blake Corum	LAR	RB40	6	3 out of 5 stars	-10
128	7	Zach Charbonnet	SEA	RB41	10	4 out of 5 stars	9
129	7	Chuba Hubbard	CAR	RB42	11	4 out of 5 stars	11
130	7	Curtis Samuel	BUF	WR55	12	2 out of 5 stars	-4
131	7	Khalil Shakir	BUF	WR56	12	2 out of 5 stars	-4
