RK	PLAYER NAME	TEAM	POS	BEST	WORST	AVG.	STD.DEV
1	Marvin Harrison Jr.	ARI	WR1	1	2	1.1	0.3
2	Malik Nabers	NYG	WR2	2	2	2	0
3	Rome Odunze	CHI	WR3	3	5	3.4	0.7
4	Brock Bowers	LV	TE1	4	8	5	1.2
5	Xavier Worthy	KC	WR4	5	10	6.8	1.6
6	Caleb Williams	CHI	QB1	3	10	6.9	2.3
7	Jayden Daniels	WAS	QB2	4	13	7.6	2.8
8	Jonathon Brooks	CAR	RB1	6	11	8	1.8
9	Ladd McConkey	LAC	WR5	7	12	9.4	2.1
10	Brian Thomas Jr.	JAC	WR6	7	18	9.8	3.2
11	Trey Benson	ARI	RB2	9	14	11.8	1.7
12	Keon Coleman	BUF	WR7	6	22	12.4	4.4
13	Ricky Pearsall	SF	WR8	11	17	13.9	1.7
14	Blake Corum	LAR	RB3	12	17	14.4	1.7
15	Drake Maye	NE	QB3	12	21	16.8	2.7
16	Adonai Mitchell	IND	WR9	14	25	17.6	3.4
17	Xavier Legette	CAR	WR10	14	24	18.8	3.4
18	Jaylen Wright	MIA	RB4	13	27	19.4	4.4
19	MarShawn Lloyd	GB	RB5	14	28	19.8	5.4
20	Jermaine Burton	CIN	WR11	18	30	22.4	3.4
21	Ja'Lynn Polk	NE	WR12	17	28	22.5	4
22	Bo Nix	DEN	QB4	14	32	23.6	6.1
23	Ben Sinnott	WAS	TE2	20	28	24.4	2.2
24	Jalen McMillan	TB	WR13	19	36	25	5.6
25	Javon Baker	NE	WR14	19	39	25.4	6.4
26	Troy Franklin	DEN	WR15	21	34	26.1	4.6
27	Ray Davis	BUF	RB6	26	32	27.5	2
28	Roman Wilson	PIT	WR16	23	36	29	4.8
29	Luke McCaffrey	WAS	WR17	23	37	30.8	4.8
30	Michael Penix Jr.	ATL	QB5	18	40	30.9	6.7
31	Malachi Corley	NYJ	WR18	21	45	31.1	7.2
32	Kimani Vidal	LAC	RB7	26	39	31.3	4
33	Braelon Allen	NYJ	RB8	23	38	31.5	5.9
34	Tyrone Tracy Jr.	NYG	RB9	27	38	32.4	3.5
35	Audric Estime	DEN	RB10	31	41	35.1	3.2
36	Bucky Irving	TB	RB11	30	43	35.8	3.8
37	Ja'Tavion Sanders	CAR	TE3	33	42	38	3.2
38	J.J. McCarthy	MIN	QB6	9	38	25.6	9.8
39	Malik Washington	MIA	WR19	31	44	40.3	4.9
40	Will Shipley	PHI	RB12	36	47	40.3	3.6
41	Theo Johnson	NYG	TE4	34	47	40.9	5.3
42	Isaac Guerendo	SF	RB13	35	46	41.1	3.6
43	Jacob Cowing	SF	WR20	37	47	43.3	2.9
44	Dylan Laube	LV	RB14	35	53	44.3	5.7
45	Devontez Walker	BAL	WR21	39	55	46	5.7
46	Johnny Wilson	PHI	WR22	40	53	46.3	4.8
47	Erick All Jr.	CIN	TE5	37	64	48.4	7.5
48	Cade Stover	HOU	TE6	45	51	48.8	1.9
49	Spencer Rattler	NO	QB7	38	67	49.3	8.1
50	Brenden Rice	LAC	WR23	46	64	52	5.4
51	Jamari Thrash	CLE	WR24	46	58	52.5	4.4
52	Rasheen Ali	BAL	RB15	47	63	54.3	5.3
53	Isaiah Davis	NYJ	RB16	50	63	54.3	3.8
54	Ainias Smith	PHI	WR25	50	72	56.9	8.4
55	Jared Wiley	KC	TE7	44	71	57.4	7.5
56	Jordan Travis	NYJ	QB8	54	73	61.9	7
57	Jawhar Jordan	HOU	RB17	51	87	63.8	9.9
58	AJ Barner	SEA	TE8	57	86	68.1	9.2
59	Joe Milton III	NE	QB9	54	66	59.9	4.8
60	Jordan Whittington	LAR	WR26	40	78	62.3	14.3
61	Jha'Quan Jackson	TEN	WR27	43	72	63.6	9
62	Jase McClellan	ATL	RB18	59	71	64.1	3.9
63	Jaheim Bell	NE	TE9	60	78	67.7	7.5
64	Anthony Gould	IND	WR28	62	93	69.6	9.9
65	Bub Means	NO	WR29	47	69	59.8	6.8
66	Tip Reiman	ARI	TE10	65	79	71.7	4.4
67	Michael Pratt	GB	QB10	57	71	62.2	5.4
68	Tanner McLachlan	CIN	TE11	64	80	73.7	5.8
69	Cody Schrader	SF	RB19	54	82	64.3	10.6
70	Ryan Flournoy	DAL	WR30	54	74	67	6.7
71	Blake Watson	DEN	RB20	56	82	68.5	9.5
72	Kendall Milton	PHI	RB21	56	81	68.7	10.5
73	Tahj Washington	MIA	WR31	61	76	68.8	5.6
74	Frank Gore Jr.	BUF	RB22	59	83	70.7	8.5
75	Daijun Edwards	PIT	RB23	67	85	75.8	6.8
76	Dallin Holker	NO	TE12	58	84	77	8.8
77	Emani Bailey	KC	RB24	70	88	80.5	7
78	Devin Leary	BAL	QB11	76	89	83.3	4.7
79	Dillon Johnson	FA	RB25	68	79	73.6	4.7
80	Jalen Coker	CAR	WR32	60	82	74.2	8
