POS	DEPTH	PRICEDDEPTH	STARTED	REPLRANK	GAMMA	PLAYERS	RESERVE	SHARE	TARGETSHARE	VORSHARE	P10	P90	SEASONS	LOST	BACKWARD	BACKWARDTOTALS	ANCHOR	GAMESCORR	RATECV	GAMESCV
QB	71	36	20	21	1.44	19	0.9	23.8	23.7	24.8	0.36	1.51	324	5	0.6	24.5	1.063	-0.41	0.32	0.34
RB	172	65	26	27	1.13	22	1.1	32.0	32.3	37.0	0.23	1.71	584	13	4.4	54.5	1.040	-0.16	0.52	0.33
WR	231	89	31	32	1.07	24	1.2	33.2	33.5	23.8	0.36	1.66	801	11	2.0	61.2	1.025	-0.22	0.46	0.30
TE	118	45	13	14	1.51	22	1.1	9.9	9.4	8.3	0.31	1.75	405	10	1.3	20.3	1.049	-0.20	0.50	0.32
PK	42	25	10	11	1.00	18	0.9	1.2	1.0	6.2	0.36	1.41	225	11	2.2	33.3	1.033	-0.26	0.22	0.35
