RANK	PICK
1	2
2	3
3	3
4	4
5	5
6	6
7	8
8	8
9	10
10	11
11	12
12	13
13	13
14	14
15	17
16	18
17	19
18	20
19	20
20	20
21	22
22	23
23	24
24	26
25	27
26	29
27	29
28	28
29	31
30	33
31	34
32	36
33	36
34	35
35	34
36	32
37	32
38	32
39	34
40	35
41	36
42	36
43	38
44	38
45	36
46	37
47	37
48	37
49	36
50	40
