FIGURE	VALUE
PLAYERS	105
TOTALPRICE	2071
TOTALCOST	1934
TOPPRICE	96
TOPCOST	84
PLAYERSABOVE1	76
TOP40PRICE	87.6
TOP40COST	86.7
TAGS	9
TEAMSTAGGING	9
FREECAP	2438
EXPECTEDSPEND	2024
