team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
ARI	1	6	1	0	0	2	0	0	0	0	0	0	13
ATL	1	1	0	0	0	0	0	0	0	0	0	0	32
BAL	1	3	1	0	0	0	0	0	0	0	0	0	33
BUF	1	2	0	0	0	0	0	0	0	0	0	0	23
CAR	1	6	1	0	0	0	0	0	0	0	0	0	14
CHI	1	1	0	0	0	0	0	0	0	0	0	0	34
CIN	1	3	0	0	0	1	0	0	0	0	0	0	24
CLE	1	2	0	0	0	0	0	0	0	0	0	0	33
DAL	1	0	2	0	0	2	0	0	0	0	0	0	31
DEN	1	2	0	0	0	1	0	0	0	0	0	0	13
DET	1	1	0	0	0	2	0	0	0	0	0	0	41
GB	1	0	0	0	0	0	0	0	0	0	0	0	38
HOU	1	1	3	0	0	0	0	0	0	0	0	0	21
IND	1	3	0	0	0	1	0	0	0	0	0	0	28
JAX	1	1	0	0	0	0	0	0	0	0	0	0	37
KC	1	2	1	0	0	1	0	0	0	0	0	0	29
LA	1	3	1	0	0	1	0	0	0	0	0	0	14
LAC	1	1	0	0	0	1	0	0	0	0	0	0	16
LV	1	3	0	0	0	2	0	0	0	0	0	0	27
MIA	1	0	0	0	0	2	0	0	0	0	0	0	16
MIN	1	5	0	0	0	0	0	0	0	0	0	0	27
NE	1	2	1	0	0	0	0	0	0	0	0	0	17
NO	1	2	2	0	0	1	0	0	0	0	0	0	3
NYG	1	2	0	0	0	1	0	0	0	0	0	0	27
NYJ	1	1	0	0	0	1	0	0	0	0	0	0	19
PHI	1	3	0	0	0	0	0	0	0	0	0	0	6
PIT	1	3	0	0	0	1	0	1	1	0	0	0	16
SEA	1	3	0	0	0	1	0	0	0	0	0	0	16
SF	1	3	1	0	1	0	0	0	0	0	0	0	33
TB	1	1	1	0	0	0	0	0	0	0	0	0	29
TEN	1	2	1	0	0	0	0	0	0	0	0	0	38
WAS	1	2	1	0	0	0	0	0	0	0	0	0	20
ARI	2	1	0	0	0	0	0	0	0	0	0	0	33
ATL	2	3	0	0	0	1	0	0	0	0	0	0	48
BAL	2	0	1	0	0	1	1	0	0	0	0	0	35
BUF	2	6	1	0	0	2	0	0	0	0	0	0	0
