RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	AGE	SOS SEASON	ECR VS. ADP
1	1	Justin Jefferson	MIN	WR1	13	24	3 out of 5 stars	0
2	1	Bijan Robinson	ATL	RB1	11	21	4 out of 5 stars	1
3	1	Ja'Marr Chase	CIN	WR2	7	23	4 out of 5 stars	-1
4	2	CeeDee Lamb	DAL	WR3	7	24	2 out of 5 stars	0
5	2	Breece Hall	NYJ	RB2	7	22	3 out of 5 stars	4
6	2	Christian McCaffrey	SF	RB3	9	27	4 out of 5 stars	0
7	2	Jonathan Taylor	IND	RB4	11	24	3 out of 5 stars	-2
8	2	A.J. Brown	PHI	WR4	10	26	3 out of 5 stars	-1
9	2	Garrett Wilson	NYJ	WR5	7	23	3 out of 5 stars	10
10	2	Saquon Barkley	NYG	RB5	13	26	2 out of 5 stars	1
11	2	Jahmyr Gibbs	DET	RB6	9	21	5 out of 5 stars	5
12	2	Jaylen Waddle	MIA	WR6	10	24	3 out of 5 stars	-2
13	3	Amon-Ra St. Brown	DET	WR7	9	23	3 out of 5 stars	0
14	3	Kyle Pitts	ATL	TE1	11	22	3 out of 5 stars	23
15	3	Chris Olave	NO	WR8	11	23	4 out of 5 stars	9
16	3	Tony Pollard	DAL	RB7	7	26	3 out of 5 stars	23
17	3	Josh Jacobs	LV	RB8	13	25	3 out of 5 stars	12
18	3	Tyreek Hill	MIA	WR9	10	29	3 out of 5 stars	-3
19	4	Travis Etienne Jr.	JAC	RB9	9	24	2 out of 5 stars	11
20	4	Mark Andrews	BAL	TE2	13	27	4 out of 5 stars	12
21	4	DeVonta Smith	PHI	WR10	10	24	3 out of 5 stars	12
22	4	Stefon Diggs	BUF	WR11	13	29	2 out of 5 stars	-10
23	4	Kenneth Walker III	SEA	RB10	5	22	2 out of 5 stars	-1
24	4	Austin Ekeler	LAC	RB11	5	28	3 out of 5 stars	-7
25	4	Rhamondre Stevenson	NE	RB12	11	25	2 out of 5 stars	24
26	4	Tee Higgins	CIN	WR12	7	24	4 out of 5 stars	-6
27	4	Patrick Mahomes II	KC	QB1	10	27	3 out of 5 stars	-19
28	4	Nick Chubb	CLE	RB13	5	27	3 out of 5 stars	7
29	4	Drake London	ATL	WR13	11	22	4 out of 5 stars	5
30	4	Cooper Kupp	LAR	WR14	10	30	3 out of 5 stars	-12
31	4	Travis Kelce	KC	TE3	10	33	4 out of 5 stars	-6
32	4	DK Metcalf	SEA	WR15	5	25	3 out of 5 stars	-5
33	5	Jaxon Smith-Njigba	SEA	WR16	5	21	3 out of 5 stars	-7
34	5	Najee Harris	PIT	RB14	6	25	3 out of 5 stars	-11
35	5	Davante Adams	LV	WR17	13	30	2 out of 5 stars	-7
36	5	Javonte Williams	DEN	RB15	9	23	4 out of 5 stars	4
37	5	Christian Watson	GB	WR18	6	24	3 out of 5 stars	14
38	5	Josh Allen	BUF	QB2	13	27	3 out of 5 stars	-24
39	5	DJ Moore	CHI	WR19	13	26	3 out of 5 stars	15
40	5	T.J. Hockenson	MIN	TE4	13	26	3 out of 5 stars	12
41	5	Jordan Addison	MIN	WR20	13	21	3 out of 5 stars	4
42	5	Chris Godwin	TB	WR21	5	27	4 out of 5 stars	6
43	5	Jalen Hurts	PHI	QB3	10	25	3 out of 5 stars	-22
44	5	Jerry Jeudy	DEN	WR22	9	24	2 out of 5 stars	16
45	6	Derrick Henry	TEN	RB16	7	29	4 out of 5 stars	-7
46	6	Dameon Pierce	HOU	RB17	7	23	3 out of 5 stars	20
47	6	Joe Burrow	CIN	QB4	7	26	3 out of 5 stars	-16
48	6	Brandon Aiyuk	SF	WR23	9	25	3 out of 5 stars	14
49	6	J.K. Dobbins	BAL	RB18	13	24	3 out of 5 stars	1
50	6	Deebo Samuel	SF	WR24	9	27	3 out of 5 stars	-14
51	6	Michael Pittman Jr.	IND	WR25	11	25	4 out of 5 stars	-7
52	6	Treylon Burks	TEN	WR26	7	23	3 out of 5 stars	13
53	6	Rachaad White	TB	RB19	5	24	3 out of 5 stars	4
54	6	Terry McLaurin	WAS	WR27	14	27	3 out of 5 stars	2
55	6	Justin Herbert	LAC	QB5	5	25	3 out of 5 stars	-13
56	6	Cam Akers	LAR	RB20	10	24	3 out of 5 stars	20
57	6	Jahan Dotson	WAS	WR28	14	23	3 out of 5 stars	29
58	6	Quentin Johnston	LAC	WR29	5	21	3 out of 5 stars	-12
59	6	D'Andre Swift	PHI	RB21	10	24	1 out of 5 stars	-18
60	6	Lamar Jackson	BAL	QB6	13	26	3 out of 5 stars	-17
61	6	Miles Sanders	CAR	RB22	7	26	4 out of 5 stars	2
