RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	SOS SEASON	ECR VS. ADP
1	1	Justin Jefferson	MIN	WR1	13	3 out of 5 stars	0
2	1	Christian McCaffrey	SF	RB1	9	4 out of 5 stars	0
3	1	Ja'Marr Chase	CIN	WR2	7	4 out of 5 stars	0
4	1	Austin Ekeler	LAC	RB2	5	3 out of 5 stars	0
5	1	Tyreek Hill	MIA	WR3	10	3 out of 5 stars	1
6	1	Travis Kelce	KC	TE1	10	4 out of 5 stars	-1
7	1	Cooper Kupp	LAR	WR4	10	3 out of 5 stars	0
8	2	Bijan Robinson	ATL	RB3	11	4 out of 5 stars	0
9	2	Nick Chubb	CLE	RB4	5	3 out of 5 stars	1
10	2	Saquon Barkley	NYG	RB5	13	2 out of 5 stars	-1
11	2	Stefon Diggs	BUF	WR5	13	2 out of 5 stars	0
12	2	Tony Pollard	DAL	RB6	7	3 out of 5 stars	4
13	2	CeeDee Lamb	DAL	WR6	7	2 out of 5 stars	-1
14	2	Derrick Henry	TEN	RB7	7	4 out of 5 stars	1
15	2	Amon-Ra St. Brown	DET	WR7	9	3 out of 5 stars	4
16	2	A.J. Brown	PHI	WR8	10	3 out of 5 stars	-3
17	2	Davante Adams	LV	WR9	13	2 out of 5 stars	1
18	3	Garrett Wilson	NYJ	WR10	7	3 out of 5 stars	2
19	3	Josh Jacobs	LV	RB8	13	3 out of 5 stars	-2
20	3	Jaylen Waddle	MIA	WR11	10	3 out of 5 stars	4
21	3	Chris Olave	NO	WR12	11	4 out of 5 stars	5
22	3	Rhamondre Stevenson	NE	RB9	11	2 out of 5 stars	8
23	3	Joe Mixon	CIN	RB10	7	3 out of 5 stars	9
24	3	DeVonta Smith	PHI	WR13	10	3 out of 5 stars	4
25	3	Patrick Mahomes II	KC	QB1	10	3 out of 5 stars	-11
26	3	Jalen Hurts	PHI	QB2	10	3 out of 5 stars	-3
27	3	Josh Allen	BUF	QB3	13	3 out of 5 stars	-6
28	3	Tee Higgins	CIN	WR14	7	4 out of 5 stars	3
29	3	Mark Andrews	BAL	TE2	13	4 out of 5 stars	0
30	3	Najee Harris	PIT	RB11	6	3 out of 5 stars	-5
31	4	Jahmyr Gibbs	DET	RB12	9	5 out of 5 stars	2
32	4	DK Metcalf	SEA	WR15	5	3 out of 5 stars	3
33	4	Travis Etienne Jr.	JAC	RB13	9	2 out of 5 stars	-6
34	4	Calvin Ridley	JAC	WR16	9	4 out of 5 stars	2
35	4	Aaron Jones	GB	RB14	6	4 out of 5 stars	3
36	4	Keenan Allen	LAC	WR17	5	3 out of 5 stars	8
37	4	Amari Cooper	CLE	WR18	5	3 out of 5 stars	4
38	4	Lamar Jackson	BAL	QB4	13	3 out of 5 stars	-4
39	4	Deebo Samuel	SF	WR19	9	3 out of 5 stars	0
40	4	DJ Moore	CHI	WR20	13	3 out of 5 stars	11
41	4	Breece Hall	NYJ	RB15	7	3 out of 5 stars	1
42	4	Kenneth Walker III	SEA	RB16	5	2 out of 5 stars	-2
43	4	Joe Burrow	CIN	QB5	7	3 out of 5 stars	-6
44	5	Dameon Pierce	HOU	RB17	7	3 out of 5 stars	-1
45	5	Miles Sanders	CAR	RB18	7	4 out of 5 stars	3
46	5	DeAndre Hopkins	TEN	WR21	7	3 out of 5 stars	9
47	5	Christian Watson	GB	WR22	6	3 out of 5 stars	16
48	5	Justin Fields	CHI	QB6	13	5 out of 5 stars	-1
49	5	T.J. Hockenson	MIN	TE3	13	3 out of 5 stars	-3
50	5	Alexander Mattison	MIN	RB19	13	5 out of 5 stars	3
51	5	J.K. Dobbins	BAL	RB20	13	3 out of 5 stars	-1
52	5	Drake London	ATL	WR23	11	4 out of 5 stars	7
53	5	Justin Herbert	LAC	QB7	5	3 out of 5 stars	-8
54	5	Cam Akers	LAR	RB21	10	3 out of 5 stars	2
55	5	Terry McLaurin	WAS	WR24	14	3 out of 5 stars	-3
56	5	Brandon Aiyuk	SF	WR25	9	3 out of 5 stars	9
57	5	Chris Godwin	TB	WR26	5	4 out of 5 stars	10
58	5	Tyler Lockett	SEA	WR27	5	3 out of 5 stars	6
59	5	James Conner	ARI	RB22	14	3 out of 5 stars	-1
60	5	Darren Waller	NYG	TE4	13	1 out of 5 stars	-3
61	5	Diontae Johnson	PIT	WR28	6	3 out of 5 stars	19
62	5	Mike Williams	LAC	WR29	5	3 out of 5 stars	8
