team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
DAL	4	1	1	0	0	0	0	0	0	0	0	0	15
DEN	4	5	0	0	0	1	0	0	0	0	0	0	9
DET	4	3	1	0	0	1	0	0	0	0	0	0	29
GB	4	2	1	0	0	2	0	0	0	0	0	0	31
HOU	4	1	0	0	0	0	0	0	0	0	0	0	20
IND	4	4	0	0	0	2	0	0	0	0	0	0	24
JAX	4	2	0	0	0	1	0	0	0	0	0	0	24
KC	4	2	0	0	0	0	0	0	0	0	0	0	10
LA	4	3	0	0	0	0	0	0	0	0	0	0	24
LAC	4	3	1	0	0	1	0	0	0	0	0	0	17
LV	4	3	1	0	0	0	0	0	0	0	0	0	16
MIA	4	1	1	0	0	0	0	0	0	0	0	0	31
MIN	4	1	3	0	0	1	0	0	0	0	0	0	29
NE	4	1	1	0	0	1	0	0	0	0	0	0	30
NO	4	1	1	0	0	0	0	0	0	0	0	0	26
NYG	4	1	0	0	0	0	0	0	0	0	0	0	20
NYJ	4	0	0	0	0	1	0	0	0	0	0	0	10
PHI	4	2	0	0	0	0	0	0	0	1	0	1	33
PIT	4	2	0	0	0	0	0	0	0	0	0	0	27
SEA	4	3	0	1	0	0	0	0	0	0	0	0	42
SF	4	6	1	0	1	2	0	0	0	0	0	0	13
TB	4	6	0	0	0	2	0	0	0	0	0	0	16
TEN	4	2	0	1	0	1	0	0	0	0	0	0	12
WAS	4	4	0	0	0	1	0	0	0	0	0	0	14
ARI	5	2	2	0	0	1	0	0	0	0	0	0	23
ATL	5	1	0	0	0	1	0	0	0	0	0	0	30
BAL	5	3	1	0	0	0	0	0	0	0	0	0	38
BUF	5	1	1	0	0	1	0	0	0	0	0	0	23
CAR	5	1	0	0	0	0	0	0	0	0	0	0	36
CHI	5	4	1	0	0	2	0	0	0	0	0	0	10
CIN	5	1	0	1	0	1	0	0	0	0	0	0	41
CLE	5	3	1	0	0	1	0	0	0	0	0	0	34
DAL	5	3	0	0	0	1	0	0	0	0	0	0	17
DEN	5	3	3	0	1	0	0	0	0	0	0	0	18
GB	5	3	1	0	0	1	0	0	0	1	0	0	19
HOU	5	1	0	0	0	0	0	0	0	0	0	0	20
IND	5	0	1	0	0	1	0	0	0	0	0	0	37
JAX	5	4	0	0	0	1	0	0	0	0	0	0	34
KC	5	1	1	0	0	0	0	0	0	0	0	0	13
LA	5	2	1	0	1	0	0	0	0	0	0	0	24
LV	5	3	0	0	0	0	0	0	0	0	0	0	34
MIA	5	2	0	0	0	0	0	0	0	0	0	0	10
MIN	5	3	3	0	1	0	0	0	0	0	0	0	17
NE	5	3	1	0	0	1	0	0	1	0	0	0	15
NO	5	2	1	0	0	0	0	0	0	0	0	0	26
NYG	5	7	0	0	0	1	0	1	0	0	1	0	20
NYJ	5	4	1	0	0	1	0	0	0	0	0	0	23
PIT	5	2	2	0	0	1	0	0	0	0	1	0	20
SEA	5	3	0	0	0	1	1	0	0	0	0	0	29
SF	5	1	1	0	0	0	0	1	0	0	1	0	24
TB	5	4	1	0	0	0	0	0	0	0	1	0	36
WAS	5	7	0	0	0	1	0	0	0	0	0	0	13
ARI	6	0	1	0	0	0	0	0	0	0	0	0	34
ATL	6	0	2	0	0	0	0	0	0	0	0	0	20
BAL	6	3	0	0	0	0	0	0	0	0	1	0	23
BUF	6	3	1	0	0	0	0	0	0	0	0	0	20
CAR	6	0	0	0	0	1	0	0	0	0	0	0	38
CHI	6	4	1	0	0	1	0	0	0	0	0	0	16
CIN	6	2	1	0	0	0	0	0	0	0	0	0	7
CLE	6	1	0	0	0	0	0	1	0	0	1	0	20
DAL	6	3	0	0	0	0	0	0	0	0	0	0	47
DEN	6	3	0	0	0	0	0	0	0	0	0	0	23
DET	6	4	3	0	0	2	0	0	0	0	0	0	9
GB	6	0	0	0	0	3	0	0	0	0	0	0	13
HOU	6	4	2	0	0	2	0	0	0	0	0	0	21
IND	6	0	1	0	0	0	0	0	0	0	0	0	17
JAX	6	3	1	0	0	0	0	0	0	0	1	0	35
LAC	6	2	1	0	0	1	0	0	0	0	0	0	16
LV	6	3	0	0	0	0	0	0	0	0	0	0	32
NE	6	2	1	0	0	0	0	0	0	0	0	0	41
NO	6	1	3	0	0	0	0	1	0	0	0	0	51
NYG	6	4	0	0	0	1	0	0	0	0	0	0	17
NYJ	6	2	0	0	0	0	0	0	0	0	0	0	23
PHI	6	5	0	0	0	0	0	0	0	0	0	0	16
PIT	6	1	1	0	0	2	0	0	1	0	0	0	13
SEA	6	0	0	0	0	0	0	1	0	0	0	0	36
SF	6	1	2	0	0	1	0	0	0	0	0	0	24
TB	6	5	2	0	0	1	1	0	0	0	0	0	27
TEN	6	0	1	0	0	0	0	0	0	0	0	0	20
WAS	6	2	1	0	0	0	0	0	0	0	0	0	30
ARI	7	3	0	0	0	2	0	0	0	0	0	0	15
ATL	7	1	0	0	0	0	0	0	0	0	0	0	34
BAL	7	3	2	0	0	0	0	0	0	0	0	0	31
BUF	7	3	1	0	0	1	0	0	0	0	0	0	10
CAR	7	1	0	0	0	0	0	0	0	0	0	0	40
CIN	7	4	2	0	0	0	0	1	0	0	0	0	14
CLE	7	3	0	0	0	0	0	0	0	0	0	0	21
DEN	7	6	0	0	0	2	1	0	0	0	0	0	10
DET	7	4	1	0	0	0	0	0	0	0	0	0	29
GB	7	4	0	0	0	0	0	0	0	0	0	0	22
HOU	7	3	2	0	0	1	0	0	0	0	0	0	24
IND	7	2	0	0	0	2	0	0	0	0	0	0	10
JAX	7	2	0	0	0	0	0	1	0	0	0	0	16
KC	7	1	3	0	0	0	0	0	0	0	0	0	18
LA	7	2	3	0	0	1	1	0	0	0	0	0	15
LAC	7	0	1	0	0	0	0	0	0	0	0	0	17
LV	7	1	1	0	0	0	0	0	0	0	0	0	20
MIA	7	0	0	0	0	1	0	0	0	0	0	0	16
MIN	7	4	0	0	0	1	1	0	0	0	0	0	31
NE	7	0	0	0	0	0	0	0	0	0	0	0	32
NO	7	0	0	0	0	1	0	0	0	0	0	0	33
NYG	7	5	0	0	0	0	0	0	0	0	0	0	28
NYJ	7	1	0	0	0	0	0	0	0	0	0	0	37
PHI	7	8	0	0	0	0	0	0	0	0	0	0	3
PIT	7	1	2	0	0	0	0	0	0	0	1	0	15
SEA	7	3	2	0	0	1	1	0	0	0	0	0	14
SF	7	2	2	0	0	0	0	0	0	0	0	0	28
TB	7	2	0	0	0	1	0	0	0	0	0	0	41
TEN	7	1	0	0	0	0	0	0	0	0	0	0	34
WAS	7	2	2	0	1	0	0	0	0	0	0	0	7
ARI	8	1	0	1	0	0	0	0	0	0	0	0	27
ATL	8	0	2	0	0	1	0	0	0	0	0	0	26
BAL	8	2	0	0	0	1	0	0	0	0	0	0	29
BUF	8	1	1	0	0	1	0	0	0	0	0	0	10
CAR	8	2	0	0	0	2	0	0	0	0	0	0	28
CHI	8	2	0	0	0	0	0	0	0	0	0	0	18
CIN	8	0	0	0	0	0	0	0	0	0	0	0	37
CLE	8	3	0	0	0	0	0	0	0	0	0	0	24
DAL	8	1	0	0	0	0	0	0	0	0	0	0	30
DEN	8	2	2	0	0	0	0	0	0	0	0	0	14
DET	8	1	2	0	0	2	0	1	0	0	0	0	14
GB	8	1	1	0	0	1	0	0	0	0	0	0	27
HOU	8	5	1	0	0	1	0	0	0	0	0	0	20
IND	8	2	0	0	0	1	0	0	0	0	0	0	23
JAX	8	1	1	0	0	0	0	0	0	0	0	0	30
KC	8	5	0	0	0	1	0	0	0	0	0	0	20
LA	8	3	0	1	0	0	0	0	0	0	0	0	20
LAC	8	5	0	0	0	0	0	0	0	0	0	0	8
LV	8	1	1	0	0	0	0	0	0	0	0	0	27
MIA	8	0	0	0	0	0	0	0	0	0	0	0	28
