team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
ARI	1	3	0	0	0	2	0	0	0	0	0	0	27
ATL	1	1	0	0	0	0	0	0	0	0	0	0	28
BAL	1	3	2	0	0	1	0	0	0	0	0	0	10
BUF	1	4	0	0	0	1	0	0	0	0	0	0	16
CAR	1	1	1	0	0	0	0	0	1	0	0	0	30
CHI	1	5	0	0	0	0	0	0	0	0	0	0	10
CIN	1	4	0	0	0	1	0	0	0	0	0	0	21
CLE	1	4	0	0	0	0	0	0	0	0	0	0	43
DAL	1	1	0	0	0	2	0	0	0	0	0	0	17
DEN	1	0	0	0	0	0	0	0	0	0	0	0	24
DET	1	5	1	0	0	0	0	0	0	0	0	0	27
GB	1	5	1	0	0	0	0	0	0	0	0	0	3
HOU	1	1	1	0	0	0	0	0	0	0	0	0	30
IND	1	4	1	0	0	1	0	0	0	0	0	0	30
JAX	1	0	0	0	0	0	0	0	0	0	0	0	40
KC	1	1	1	0	0	1	0	0	0	0	0	0	26
LA	1	3	1	0	0	2	0	0	0	0	0	0	27
LAC	1	2	0	0	0	0	0	0	0	0	0	0	24
LV	1	3	0	0	0	0	0	0	0	0	0	0	16
MIA	1	1	0	0	0	0	0	0	0	0	0	0	59
MIN	1	4	2	0	0	1	0	0	1	0	0	0	12
NE	1	1	1	0	0	0	0	0	0	0	0	0	3
NO	1	6	1	0	0	0	0	0	0	0	0	0	28
NYG	1	0	0	0	0	0	0	0	0	0	0	0	35
NYJ	1	1	2	1	1	2	0	0	0	0	0	0	17
PHI	1	1	0	0	0	0	0	0	0	0	0	0	27
PIT	1	1	0	0	0	0	0	0	0	0	0	0	33
SEA	1	5	0	0	0	3	0	0	0	0	0	0	20
SF	1	3	3	0	2	1	0	0	0	0	0	0	17
TB	1	1	1	0	1	1	0	0	0	0	0	0	31
TEN	1	5	3	1	1	0	0	0	0	0	0	0	13
WAS	1	1	0	0	0	0	0	0	0	0	0	0	32
ARI	2	2	0	0	0	0	0	0	0	0	0	0	23
ATL	2	3	2	0	0	1	0	0	0	0	0	0	20
BAL	2	3	0	0	0	0	0	0	0	0	0	0	17
BUF	2	1	2	0	0	0	0	0	0	0	0	0	14
CAR	2	3	0	1	0	0	0	0	0	0	0	0	20
CHI	2	2	1	0	0	0	0	0	0	0	0	0	14
CIN	2	0	1	0	0	0	0	0	0	0	0	0	41
CLE	2	4	0	0	0	1	0	0	0	0	0	0	3
DAL	2	1	0	0	0	0	0	0	0	0	0	0	21
DEN	2	0	0	0	0	0	0	0	0	0	0	0	16
DET	2	1	1	0	0	1	0	0	0	0	0	0	10
GB	2	1	2	0	0	2	0	0	0	1	0	0	16
HOU	2	4	0	0	0	1	0	0	0	0	0	0	12
IND	2	4	0	0	0	0	0	0	0	0	0	0	17
JAX	2	3	0	0	0	0	0	0	0	0	0	0	13
KC	2	3	2	0	0	0	0	0	0	0	0	0	10
LA	2	2	1	0	0	0	0	0	0	0	0	0	9
LAC	2	0	2	0	0	0	0	0	0	0	0	0	13
LV	2	2	0	0	0	1	0	0	0	0	0	0	28
MIA	2	2	0	0	0	1	0	0	0	0	0	0	43
MIN	2	2	0	0	0	2	0	0	0	0	0	0	21
NE	2	7	4	0	2	0	0	0	0	0	0	0	0
NO	2	3	0	0	0	1	0	0	0	0	0	0	27
NYG	2	3	0	0	0	0	0	0	0	0	0	0	28
NYJ	2	3	1	0	0	0	0	0	0	0	0	0	23
PHI	2	1	3	0	0	0	0	0	0	0	0	0	24
PIT	2	4	0	0	0	2	0	0	0	0	0	0	28
SEA	2	1	1	0	0	0	0	0	0	0	0	0	26
SF	2	4	1	0	0	0	0	0	0	0	0	0	17
TB	2	3	0	0	0	1	0	0	0	0	0	0	14
TEN	2	2	1	0	0	1	0	0	0	0	0	0	19
WAS	2	1	1	0	0	0	0	0	0	0	0	0	31
ARI	3	2	0	0	0	1	0	0	0	0	0	0	38
ATL	3	1	0	0	0	0	0	0	0	0	0	0	27
BAL	3	1	0	0	0	0	0	0	0	0	0	0	33
BUF	3	2	2	0	0	2	0	0	0	0	0	0	17
CAR	3	8	2	0	0	0	0	0	0	0	0	0	20
CHI	3	4	3	0	1	2	0	0	0	0	0	0	15
CIN	3	1	1	0	0	1	0	0	0	0	0	0	21
CLE	3	2	2	0	0	1	0	0	0	0	0	0	20
DAL	3	3	0	0	0	1	0	0	0	0	0	0	6
