"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","OVERALL ","UPSIDE ","BUST ","ECR VS. ADP"
"63",7,"Marlin Klein",HOU,"TE10","23","3 out of 5","3 out of 5","4 out of 5","-3"
"64",7,"Jack Endries",CIN,"TE11","22","2 out of 5","2 out of 5","4 out of 5","+14"
"65",7,"Malik Benson",LV,"WR27","23","4 out of 5","3 out of 5","2 out of 5","-27"
"66",7,"CJ Daniels",LAR,"WR28","24","3 out of 5","2 out of 5","4 out of 5","-17"
"67",7,"Desmond Reid",FA,"RB19","22","1 out of 5","2 out of 5","5 out of 5","+24"
"68",7,"Terion Stewart",KC,"RB20","24","2 out of 5","2 out of 5","4 out of 5","+21"
"69",8,"Nate Boerkircher",JAC,"TE12","24","2 out of 5","2 out of 5","4 out of 5","+4"
"70",8,"Jamal Haynes",CIN,"RB21","23","1 out of 5","1 out of 5","5 out of 5","+46"
"71",8,"Michael Trigg",DAL,"TE13","24","2 out of 5","2 out of 5","5 out of 5","-7"
"72",8,"Noah Whittington",HOU,"RB22","24","1 out of 5","1 out of 5","5 out of 5","+20"
"73",8,"Josh Cameron",JAC,"WR29","23","2 out of 5","2 out of 5","4 out of 5","-16"
"74",8,"Dae'Quan Wright",FA,"TE14","22","2 out of 5","2 out of 5","4 out of 5","+23"
"75",8,"Jeff Caldwell",KC,"WR30","23","3 out of 5","4 out of 5","4 out of 5","-9"
"76",8,"Luke Altmyer",DET,"QB10","23","1 out of 5","1 out of 5","4 out of 5","+29"
"77",8,"Colbie Young",CIN,"WR31","24","3 out of 5","2 out of 5","4 out of 5","-31"
"78",8,"Kendrick Law",DET,"WR32","23","2 out of 5","2 out of 5","4 out of 5","+17"
"79",8,"Eric McAlister",FA,"WR33","-","2 out of 5","3 out of 5","4 out of 5","-5"
"80",8,"Joe Royer",CLE,"TE15","24","2 out of 5","2 out of 5","4 out of 5","-3"
"81",8,"Kejon Owens",FA,"RB23","-","1 out of 5","1 out of 5","5 out of 5","+5"
"82",9,"J. Michael Sturdivant",GB,"WR34","23","2 out of 5","2 out of 5","5 out of 5","+35"
"83",9,"Rahsul Faison",FA,"RB24","-","2 out of 5","2 out of 5","4 out of 5","+18"
"84",9,"Dane Key",DEN,"WR35","23","2 out of 5","2 out of 5","4 out of 5","+29"
