"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"274",12,"Elijah Sarratt",BAL,"WR98","13","3 out of 5","4 out of 5","4 out of 5 stars","+74"
"275",12,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","4 out of 5","4 out of 5 stars","+9"
"276",12,"Michael Penix Jr.",ATL,"QB32","11","2 out of 5","5 out of 5","4 out of 5 stars","+6"
"277",12,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","+11"
"278",12,"Darius Slayton",NYG,"WR99","8","2 out of 5","4 out of 5","4 out of 5 stars","+211"
"279",12,"Xavier Legette",CAR,"WR100","5","2 out of 5","4 out of 5","2 out of 5 stars","+222"
"280",12,"Christian Kirk",SF,"WR101","8","2 out of 5","5 out of 5","2 out of 5 stars","-23"
"281",12,"Kendre Miller",NO,"RB82","8","2 out of 5","4 out of 5","3 out of 5 stars","+42"
"282",12,"Kirk Cousins",LV,"QB33","13","2 out of 5","4 out of 5","1 out of 5 stars","+33"
"283",12,"Marvin Mims Jr.",DEN,"WR102","10","3 out of 5","4 out of 5","2 out of 5 stars","+15"
"284",12,"DJ Giddens",IND,"RB83","13","2 out of 5","4 out of 5","4 out of 5 stars","+151"
"285",12,"Theo Johnson",NYG,"TE34","8","2 out of 5","5 out of 5","3 out of 5 stars","+39"
"286",12,"Deshaun Watson",CLE,"QB34","11","1 out of 5","5 out of 5","4 out of 5 stars","+110"
"287",12,"San Francisco 49ers",SF,"DST17","8","-","-","3 out of 5 stars","-70"
"288",12,"Kyle Williams",NE,"WR103","11","3 out of 5","4 out of 5","2 out of 5 stars","-28"
"289",12,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-39"
"290",12,"Atlanta Falcons",ATL,"DST18","11","-","-","4 out of 5 stars","-54"
"291",12,"Eli Stowers",PHI,"TE35","10","4 out of 5","4 out of 5","4 out of 5 stars","-33"
"292",12,"Brashard Smith",KC,"RB84","5","-","-","3 out of 5 stars","+48"
"293",12,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-44"
"294",12,"Devin Singletary",NYG,"RB85","8","1 out of 5","5 out of 5","4 out of 5 stars","-35"
"295",12,"Mack Hollins",NE,"WR104","11","-","-","2 out of 5 stars","+363"
"296",12,"Jaydon Blue",PHI,"RB86","10","3 out of 5","5 out of 5","4 out of 5 stars","-58"
"297",12,"Skyler Bell",BUF,"WR105","7","-","-","4 out of 5 stars","+23"
"298",12,"Hollywood Brown",PHI,"WR106","10","-","-","4 out of 5 stars","+38"
"299",12,"Adam Randall",BAL,"RB87","13","3 out of 5","5 out of 5","3 out of 5 stars","+365"
"300",12,"Devin Neal",FA,"RB88","-","2 out of 5","4 out of 5","-","+42"
"301",12,"Emari Demercado",DAL,"RB89","14","1 out of 5","5 out of 5","4 out of 5 stars","+75"
"302",12,"Mike Gesicki",CIN,"TE36","6","-","-","3 out of 5 stars","+65"
"303",12,"Isaiah Bond",CLE,"WR107","11","-","-","3 out of 5 stars","+342"
"304",12,"Darren Waller",CAR,"TE37","5","-","-","2 out of 5 stars","+111"
"305",12,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-29"
"306",12,"Brandon Aiyuk",SF,"WR108","8","2 out of 5","5 out of 5","2 out of 5 stars","-34"
"307",12,"Trevor Etienne",CAR,"RB90","5","2 out of 5","4 out of 5","1 out of 5 stars","+344"
"308",13,"Jake Tonges",SF,"TE38","8","-","-","3 out of 5 stars","-4"
"309",13,"Trey Benson",ARI,"RB91","14","1 out of 5","5 out of 5","2 out of 5 stars","+19"
"310",13,"Andrei Iosivas",CIN,"WR109","6","-","-","4 out of 5 stars","+108"
"311",13,"DeMario Douglas",NE,"WR110","11","-","-","2 out of 5 stars","+296"
"312",13,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-117"
"313",13,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-19"
"314",13,"Isaac Guerendo",SF,"RB92","8","-","-","2 out of 5 stars","+264"
"315",13,"Jerome Ford",WAS,"RB93","7","2 out of 5","4 out of 5","4 out of 5 stars","+221"
"316",13,"Tahj Brooks",CIN,"RB94","6","-","-","2 out of 5 stars","+195"
"317",13,"Michael Mayer",LV,"TE40","13","-","-","3 out of 5 stars","+162"
"318",13,"Tyreek Hill",FA,"WR111","-","1 out of 5","5 out of 5","-","-72"
"319",13,"Charlie Kolar",LAC,"TE41","7","-","-","4 out of 5 stars","+178"
"320",13,"Will Shipley",PHI,"RB95","10","-","-","4 out of 5 stars","+236"
"321",13,"Oscar Delp",NO,"TE42","8","4 out of 5","4 out of 5","2 out of 5 stars","+320"
"322",13,"Audric Estime",NO,"RB96","8","-","-","3 out of 5 stars","+19"
"323",13,"Jahan Dotson",ATL,"WR112","11","-","-","3 out of 5 stars","+207"
"324",13,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","-18"
"325",13,"Jaleel McLaughlin",CLE,"RB97","11","-","-","3 out of 5 stars","+291"
"326",13,"Xavier Hutchinson",HOU,"WR113","8","-","-","3 out of 5 stars","+329"
"327",13,"Bryce Lance",NO,"WR114","8","-","-","3 out of 5 stars","+141"
"328",13,"Jarquez Hunter",FA,"RB98","-","-","-","-","+79"
"329",13,"Elijah Arroyo",SEA,"TE43","11","-","-","3 out of 5 stars","+26"
"330",13,"Jalen Tolbert",MIA,"WR115","6","-","-","3 out of 5 stars","+234"
"331",13,"Carson Beck",ARI,"QB36","14","-","-","2 out of 5 stars","+109"
"332",13,"Kareem Hunt",FA,"RB99","-","-","-","-","+58"
"333",13,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-145"
"334",13,"Eli Raridon",NE,"TE44","11","-","-","4 out of 5 stars","+65"
"335",13,"Cole Kmet",CHI,"TE45","10","-","-","2 out of 5 stars","-43"
"336",13,"Dawson Knox",BUF,"TE46","7","-","-","3 out of 5 stars","-18"
"337",13,"Erick All Jr.",CIN,"TE47","6","-","-","3 out of 5 stars","+161"
"338",13,"Tyler Higbee",LAR,"TE48","11","-","-","4 out of 5 stars","+7"
"339",13,"Kendrick Bourne",ARI,"WR116","14","-","-","2 out of 5 stars","+320"
"340",13,"Olamide Zaccheaus",ATL,"WR117","11","-","-","3 out of 5 stars","+274"
"341",13,"Konata Mumpfield",LAR,"WR118","11","-","-","1 out of 5 stars","+43"
"342",13,"Max Klare",LAR,"TE49","11","-","-","4 out of 5 stars","+45"
"343",13,"Tez Johnson",TB,"WR119","10","-","-","4 out of 5 stars","+126"
"344",13,"J.J. McCarthy",MIN,"QB37","6","-","-","5 out of 5 stars","-93"
"345",13,"Jalen Royals",KC,"WR120","5","-","-","2 out of 5 stars","+155"
"346",13,"Bam Knight",ARI,"RB100","14","-","-","2 out of 5 stars","+119"
"347",13,"Joshua Palmer",BUF,"WR121","7","-","-","4 out of 5 stars","+2"
"348",13,"Luke McCaffrey",WAS,"WR122","7","-","-","2 out of 5 stars","-21"
"349",13,"Noah Gray",KC,"TE50","5","-","-","4 out of 5 stars","+15"
"350",13,"Brenen Thompson",LAC,"WR123","7","-","-","2 out of 5 stars","+304"
"351",13,"Tyler Bass",BUF,"K19","7","-","-","2 out of 5 stars","-123"
"352",13,"Joe Mixon",FA,"RB101","-","-","-","-","-90"
"353",13,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","+9"
"354",13,"Chris Brazzell II",CAR,"WR124","5","-","-","2 out of 5 stars","+321"
"355",14,"Cedric Tillman",NO,"WR125","8","-","-","3 out of 5 stars","-"
"356",14,"Roman Wilson",PIT,"WR126","9","-","-","3 out of 5 stars","+161"
"357",14,"Malik Benson",LV,"WR127","13","-","-","2 out of 5 stars","+187"
"358",14,"Jake Elliott",PHI,"K20","10","-","-","5 out of 5 stars","-114"
"359",14,"Jacob Saylors",DET,"RB102","6","-","-","5 out of 5 stars","+70"
"360",14,"Trey Smack",GB,"K21","11","-","-","4 out of 5 stars","-148"
"361",14,"New York Giants",NYG,"DST23","8","-","-","1 out of 5 stars","-138"
"362",14,"Ja'Tavion Sanders",CAR,"TE51","5","-","-","2 out of 5 stars","-12"
"363",14,"Treylon Burks",WAS,"WR128","7","-","-","2 out of 5 stars","+274"
"364",14,"Eli Heidenreich",PIT,"RB103","9","-","-","2 out of 5 stars","+48"
"365",14,"Kalif Raymond",CHI,"WR129","10","-","-","3 out of 5 stars","+140"
"366",14,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-29"
"367",14,"Ty Simpson",LAR,"QB40","11","-","-","3 out of 5 stars","-100"
"368",14,"Carolina Panthers",CAR,"DST24","5","-","-","3 out of 5 stars","-114"
"369",14,"Zavion Thomas",CHI,"WR130","10","-","-","3 out of 5 stars","-52"
"370",14,"Roschon Johnson",CHI,"RB104","10","-","-","2 out of 5 stars","+190"
"371",14,"Tampa Bay Buccaneers",TB,"DST25","10","-","-","4 out of 5 stars","-86"
"372",14,"Kevin Coleman Jr.",MIA,"WR131","6","-","-","3 out of 5 stars","+296"
"373",14,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","+53"
"374",14,"Savion Williams",GB,"WR132","11","-","-","5 out of 5 stars","+276"
"375",14,"Michael Carter",TEN,"RB105","9","-","-","3 out of 5 stars","+194"
"376",14,"Odell Beckham Jr.",NYG,"WR133","8","-","-","4 out of 5 stars","-90"
"377",14,"Kyle Juszczyk",SF,"RB106","8","-","-","2 out of 5 stars","+40"
"378",14,"Raheim Sanders",CLE,"RB107","11","-","-","3 out of 5 stars","+256"
"379",14,"Demarcus Robinson",SF,"WR134","8","-","-","2 out of 5 stars","+99"
"380",14,"Noah Fant",NO,"TE52","8","-","-","2 out of 5 stars","+86"
"381",14,"KaVontae Turpin",DAL,"WR135","14","-","-","2 out of 5 stars","-28"
"382",14,"Dont'e Thornton Jr.",LV,"WR136","13","-","-","2 out of 5 stars","+223"
"383",14,"Colbie Young",CIN,"WR137","6","-","-","4 out of 5 stars","-37"
"384",14,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-50"
"385",14,"Tutu Atwell",LAR,"WR138","11","-","-","1 out of 5 stars","+240"
"386",14,"Sione Vaki",DET,"RB108","6","-","-","5 out of 5 stars","+71"
"387",14,"John Metchie III",CAR,"WR139","5","-","-","2 out of 5 stars","+252"
"388",14,"Rasheen Ali",BAL,"RB109","13","-","-","3 out of 5 stars","-"
"389",14,"Daniel Carlson",NO,"K22","8","-","-","5 out of 5 stars","-"
"390",14,"Jameis Winston",NYG,"QB43","8","-","-","4 out of 5 stars","-77"
"391",14,"Tennessee Titans",TEN,"DST26","9","-","-","2 out of 5 stars","-125"
"392",14,"Tommy Tremble",CAR,"TE53","5","-","-","2 out of 5 stars","-7"
"393",14,"CJ Daniels",LAR,"WR140","11","-","-","1 out of 5 stars","-35"
