"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"138",9,"Jonathon Brooks",CAR,"RB34","23","113","172","140.1","18.0","-"
"139",9,"Chig Okonkwo",WAS,"TE17","26","122","168","142.2","12.5","-"
"140",9,"Mark Andrews",BAL,"TE18","30","121","174","146.9","13.9","-"
"141",9,"Rico Dowdle",PIT,"RB35","28","121","168","147.5","9.6","-"
"142",9,"Jonah Coleman",DEN,"RB36","22","113","193","149.3","20.1","-"
"143",9,"Dallas Goedert",PHI,"TE19","31","124","200","149.8","18.5","-"
"144",9,"Tony Pollard",TEN,"RB37","29","126","170","150.9","12.7","-"
"145",10,"Tua Tagovailoa",ATL,"QB30","28","111","208","143.9","19.5","-"
"146",10,"De'Zhaun Stribling",SF,"WR60","23","115","212","155.3","19.0","-"
"147",10,"AJ Barner",SEA,"TE20","24","127","198","156.6","21.4","-"
"148",10,"Jalen McMillan",TB,"WR61","24","132","210","156.7","20.6","-"
"149",10,"Tre' Harris",LAC,"WR62","24","124","234","157.4","26.9","-"
"150",10,"Kenny Gainwell",TB,"RB38","27","126","193","157.5","14.4","-"
"151",10,"J.K. Dobbins",DEN,"RB39","27","130","183","160.0","10.1","-"
"152",10,"Travis Kelce",KC,"TE21","36","132","194","163.9","17.7","-"
"153",10,"Chris Bell",MIA,"WR63","22","123","172","140.9","12.3","-"
"154",10,"Jacory Croskey-Merritt",WAS,"RB40","25","136","193","164.3","15.1","-"
"155",10,"Germie Bernard",PIT,"WR64","22","124","184","153.5","15.3","-"
"156",10,"Terrance Ferguson",LAR,"TE22","23","125","215","164.4","20.7","-"
"157",10,"Juwan Johnson",NO,"TE23","29","133","197","167.8","17.0","-"
"158",10,"Ted Hurst III",TB,"WR65","22","136","230","167.9","23.4","-"
"159",10,"Rachaad White",WAS,"RB41","27","140","195","168.7","12.9","-"
"160",10,"T.J. Hockenson",MIN,"TE24","29","139","196","171.8","17.7","-"
"161",10,"Tyler Allgeier",ARI,"RB42","26","151","203","172.1","14.2","-"
"162",10,"Woody Marks",HOU,"RB43","25","135","199","173.2","14.6","-"
"163",10,"Jauan Jennings",MIN,"WR66","29","137","209","164.6","18.9","-"
"164",10,"Nicholas Singleton",TEN,"RB44","22","142","226","175.3","22.3","-"
"165",10,"Tyrone Tracy Jr.",NYG,"RB45","26","146","205","176.0","15.8","-"
"166",10,"Rashid Shaheed",SEA,"WR67","27","130","192","157.4","14.7","-"
"167",10,"Jordan Mason",MIN,"RB46","27","159","198","180.8","12.4","-"
"168",10,"Jaylin Noel",HOU,"WR68","23","128","218","162.9","22.4","-"
"169",10,"Dylan Sampson",CLE,"RB47","21","165","216","185.1","14.1","-"
"170",10,"Emmett Johnson",KC,"RB48","22","149","213","185.2","16.3","-"
"171",10,"Gunnar Helm",TEN,"TE25","23","158","221","186.1","18.7","-"
"172",10,"Oscar Delp",NO,"TE26","23","132","258","187.2","30.6","-"
"173",10,"Hunter Henry",NE,"TE27","31","153","251","187.2","23.3","-"
"174",10,"Chris Rodriguez Jr.",JAC,"RB49","26","151","232","187.8","19.2","-"
"175",10,"Elijah Sarratt",BAL,"WR69","23","134","227","171.7","24.1","-"
"176",10,"Stefon Diggs",FA,"WR70","32","144","212","173.6","18.4","-"
"177",10,"Eli Raridon",NE,"TE28","22","128","266","188.5","31.4","-"
"178",11,"Troy Franklin",DEN,"WR71","23","153","243","190.4","25.2","-"
"179",11,"Max Klare",LAR,"TE29","23","134","253","192.7","26.5","-"
"180",11,"Adonai Mitchell",NYJ,"WR72","23","154","217","183.3","16.4","-"
"181",11,"Tyjae Spears",TEN,"RB50","25","169","247","202.9","22.4","-"
"182",11,"Aaron Jones Sr.",MIN,"RB51","31","169","218","194.7","14.8","-"
"183",11,"Mason Taylor",NYJ,"TE30","22","159","297","205.9","33.8","-"
"184",11,"Tank Bigsby",PHI,"RB52","23","171","233","206.5","16.6","-"
"185",11,"Kaytron Allen",WAS,"RB53","23","152","257","198.4","25.0","-"
"186",11,"Zachariah Branch",ATL,"WR73","22","154","266","188.8","31.8","-"
"187",11,"Malachi Fields",NYG,"WR74","22","153","255","190.4","23.4","-"
"188",11,"Shedeur Sanders",CLE,"QB31","24","138","242","155.9","24.8","-"
"189",11,"J.J. McCarthy",MIN,"QB32","23","106","178","142.3","16.4","-"
"190",11,"Jerry Jeudy",CLE,"WR75","27","157","240","183.8","17.5","-"
"191",11,"Isiah Pacheco",DET,"RB54","27","176","274","213.4","21.7","-"
"192",11,"Greg Dulcich",MIA,"TE31","26","162","281","206.2","29.8","-"
"193",11,"Kayshon Boutte",NE,"WR76","24","161","228","187.1","17.9","-"
"194",11,"Pat Bryant",DEN,"WR77","23","160","237","189.4","19.4","-"
"195",11,"Skyler Bell",BUF,"WR78","24","160","246","189.9","23.5","-"
"196",11,"Dalton Schultz",HOU,"TE32","30","155","248","200.0","26.1","-"
"197",11,"Cade Otton",TB,"TE33","27","174","254","209.4","18.5","-"
"198",11,"David Njoku",LAC,"TE34","30","175","245","210.8","16.6","-"
"199",11,"Jack Bech",LV,"WR79","23","146","251","201.9","23.9","-"
"200",11,"Isaac TeSlaa",DET,"WR80","24","158","216","192.2","17.3","-"
"201",11,"Braelon Allen",NYJ,"RB55","22","179","300","212.4","30.2","-"
"202",11,"Mike Washington Jr.",LV,"RB56","23","178","275","205.8","25.6","-"
"203",11,"Tank Dell",HOU,"WR81","26","177","237","207.8","19.9","-"
"204",11,"Brian Robinson Jr.",ATL,"RB57","27","186","262","217.1","20.1","-"
"205",11,"Pat Freiermuth",PIT,"TE35","27","174","248","208.8","17.2","-"
"206",11,"Jalen Nailor",LV,"WR82","27","153","318","200.8","35.5","-"
"207",11,"Chimere Dike",TEN,"WR83","24","189","256","210.4","16.6","-"
"208",11,"Chris Brazzell II",CAR,"WR84","22","163","250","192.9","23.1","-"
"209",11,"Brandon Aiyuk",SF,"WR85","28","118","244","181.8","35.5","-"
"210",11,"Keaton Mitchell",LAC,"RB58","24","179","264","204.7","20.6","-"
"211",11,"Kaleb Johnson",PIT,"RB59","22","184","268","222.8","20.8","-"
"212",11,"Elic Ayomanor",TEN,"WR86","23","168","265","207.9","27.1","-"
"213",11,"Ja'Kobi Lane",BAL,"WR87","22","153","251","200.6","26.8","-"
"214",11,"Deebo Samuel Sr.",SF,"WR88","30","144","257","201.9","26.8","-"
"215",11,"Demond Claiborne",MIN,"RB60","22","186","293","223.8","26.0","-"
"216",11,"Keon Coleman",BUF,"WR89","23","179","272","225.2","19.7","-"
"217",11,"Kimani Vidal",LAC,"RB61","24","196","270","227.1","16.7","-"
"218",11,"Tory Horton",SEA,"WR90","23","151","345","209.4","41.8","-"
"219",11,"Ryan Flournoy",DAL,"WR91","26","176","292","221.7","26.9","-"
"220",11,"Dontayvion Wicks",PHI,"WR92","25","184","241","212.6","15.4","-"
"221",11,"Malik Washington",MIA,"WR93","25","191","251","226.7","17.8","-"
"222",12,"Kyle Williams",NE,"WR94","23","191","242","221.1","14.1","-"
"223",12,"Ollie Gordon II",MIA,"RB62","22","220","311","239.4","23.6","-"
"224",12,"Alvin Kamara",NO,"RB63","31","177","265","223.6","22.9","-"
"225",12,"Ray Davis",BUF,"RB64","26","213","275","240.6","14.1","-"
"226",12,"Calvin Ridley",TEN,"WR95","31","147","297","224.8","30.5","-"
"227",12,"Geno Smith",NYJ,"QB33","35","143","223","159.6","22.1","-"
"228",12,"Emanuel Wilson",SEA,"RB65","27","216","306","244.4","24.2","-"
"229",12,"Sean Tucker",TB,"RB66","24","205","295","245.1","23.5","-"
"230",12,"Tre Tucker",LV,"WR96","25","180","274","230.6","22.7","-"
"231",12,"Aaron Rodgers",PIT,"QB34","42","106","250","166.6","38.2","-"
"232",12,"MarShawn Lloyd",GB,"RB67","25","187","274","243.1","22.4","-"
"233",12,"Darnell Mooney",NYG,"WR97","28","199","255","225.9","14.0","-"
"234",12,"Trey Benson",ARI,"RB68","24","186","289","244.5","28.6","-"
"235",12,"James Conner",ARI,"RB69","31","205","305","251.7","24.8","-"
"236",12,"Bryce Lance",NO,"WR98","23","178","247","218.6","24.5","-"
"237",12,"Tyreek Hill",FA,"WR99","32","178","252","223.0","20.8","-"
"238",12,"Kaelon Black",SF,"RB70","24","195","288","233.1","26.8","-"
"239",12,"Jacoby Brissett",ARI,"QB35","33","138","245","164.7","29.7","-"
"240",12,"Rashod Bateman",BAL,"WR100","26","208","282","234.1","18.3","-"
"241",12,"Elijah Arroyo",SEA,"TE36","23","187","260","219.6","27.4","-"
"242",12,"Justin Joly",DEN,"TE37","22","174","298","223.0","36.5","-"
"243",12,"Jaylen Wright",MIA,"RB71","23","211","315","251.6","22.9","-"
"244",12,"Devin Neal",NO,"RB72","22","219","295","259.6","20.0","-"
"245",12,"Marvin Mims Jr.",DEN,"WR101","24","199","279","237.3","21.8","-"
"246",12,"Jaydon Blue",DAL,"RB73","22","221","283","255.5","16.6","-"
"247",12,"Tez Johnson",TB,"WR102","24","224","323","251.4","25.1","-"
"248",12,"Michael Mayer",LV,"TE38","25","204","257","233.0","16.3","-"
"249",12,"Theo Johnson",NYG,"TE39","25","200","272","233.1","20.5","-"
"250",12,"Mac Jones",SF,"QB36","27","137","250","174.9","40.7","-"
"251",12,"Adam Randall",BAL,"RB74","22","212","298","257.3","22.1","-"
"252",12,"Anthony Richardson Sr.",IND,"QB37","24","118","238","159.3","36.8","-"
"253",12,"Jordan James",SF,"RB75","22","209","304","260.6","21.1","-"
"254",12,"Christian Kirk",SF,"WR103","29","206","304","254.4","29.1","-"
"255",12,"Xavier Legette",CAR,"WR104","25","238","283","251.4","12.9","-"
"256",12,"Isaiah Davis",NYJ,"RB76","24","255","305","268.6","13.9","-"
"257",12,"Jarquez Hunter",LAR,"RB77","23","255","317","275.3","19.4","-"
"258",12,"DJ Giddens",IND,"RB78","22","255","297","270.6","14.3","-"
"259",12,"Kevin Coleman Jr.",MIA,"WR105","22","196","262","235.8","16.9","-"
"260",12,"Brashard Smith",KC,"RB79","23","253","331","279.8","23.4","-"
"261",12,"Seth McGowan",IND,"RB80","24","235","336","267.6","26.7","-"
"262",12,"Cedric Tillman",CLE,"WR106","26","234","315","262.1","26.0","-"
"263",12,"DeMario Douglas",NE,"WR107","25","227","298","253.8","23.3","-"
"264",12,"Cooper Kupp",SEA,"WR108","33","229","326","264.5","30.3","-"
"265",12,"Najee Harris",LAC,"RB81","28","241","301","265.0","14.5","-"
"266",12,"Isaiah Bond",CLE,"WR109","22","241","330","273.3","32.6","-"
"267",12,"Hollywood Brown",PHI,"WR110","29","231","333","267.1","35.8","-"
"268",13,"Kendre Miller",NO,"RB82","24","254","331","283.3","27.6","-"
"269",13,"Brenen Thompson",LAC,"WR111","23","222","263","239.2","13.6","-"
"270",13,"Devaughn Vele",NO,"WR112","28","232","336","271.5","34.7","-"
"271",13,"Isaac Guerendo",SF,"RB83","26","261","346","290.4","25.3","-"
"272",13,"Tahj Brooks",CIN,"RB84","24","260","321","281.0","17.6","-"
"273",13,"Chris Brooks",GB,"RB85","26","229","368","275.8","33.0","-"
"274",13,"Mike Gesicki",CIN,"TE40","30","231","301","263.8","20.5","-"
"275",13,"Trevor Etienne",CAR,"RB86","22","263","306","280.8","15.0","-"
"276",13,"Carson Beck",ARI,"QB38","23","138","279","175.2","47.9","-"
"277",13,"Eli Heidenreich",PIT,"RB87","23","230","330","265.2","25.6","-"
"278",13,"LeQuint Allen Jr.",JAC,"RB88","22","259","322","288.9","21.6","-"
"279",13,"Ben Sinnott",WAS,"TE41","24","242","311","267.9","22.0","-"
"280",13,"Darnell Washington",PIT,"TE42","24","211","318","259.9","31.5","-"
"281",13,"Jalen Royals",KC,"WR113","23","215","303","260.8","22.5","-"
"282",13,"Evan Engram",DEN,"TE43","31","243","321","271.9","20.7","-"
"283",13,"Will Shipley",PHI,"RB89","23","264","342","287.4","23.0","-"
"284",13,"Deshaun Watson",CLE,"QB39","30","137","282","189.8","49.3","-"
"285",13,"Colby Parkinson",LAR,"TE44","27","218","329","263.8","30.4","-"
"286",13,"Ja'Tavion Sanders",CAR,"TE45","23","237","303","274.4","19.1","-"
"287",13,"Caleb Douglas",MIA,"WR114","22","226","287","254.9","19.4","-"
"288",13,"Cole Kmet",CHI,"TE46","27","204","317","259.2","30.8","-"
"289",13,"Jake Tonges",SF,"TE47","27","221","304","261.0","24.2","-"
"290",13,"Jerome Ford",WAS,"RB90","26","263","341","291.0","29.9","-"
"291",13,"Andrei Iosivas",CIN,"WR115","26","247","329","279.2","23.3","-"
"292",13,"Tyquan Thornton",KC,"WR116","25","237","303","262.9","22.1","-"
"293",13,"Tanner Koziol",JAC,"TE48","22","246","309","279.6","21.9","-"
"294",13,"Devin Singletary",NYG,"RB91","28","228","338","283.0","31.2","-"
"295",13,"Kirk Cousins",LV,"QB40","37","156","299","214.0","51.3","-"
"296",13,"Sam Roush",CHI,"TE49","22","248","314","273.6","21.8","-"
"297",13,"Keenan Allen",LAC,"WR117","34","229","328","282.1","34.0","-"
"298",13,"Darius Slayton",NYG,"WR118","29","236","330","283.5","32.3","-"
"299",13,"Luke McCaffrey",WAS,"WR119","25","242","330","293.9","34.7","-"
"300",13,"Justin Fields",KC,"QB41","27","143","293","200.8","58.4","-"
"301",13,"Konata Mumpfield",LAR,"WR120","23","224","365","275.1","45.0","-"
"302",13,"Dont'e Thornton Jr.",LV,"WR121","23","264","348","296.8","24.1","-"
"303",13,"Jaylin Lane",WAS,"WR122","24","253","321","289.4","24.3","-"
"304",13,"Marlin Klein",HOU,"TE50","23","240","308","279.9","21.2","-"
"305",13,"Justice Hill",BAL,"RB92","28","269","325","293.0","22.7","-"
"306",13,"Drew Allar",PIT,"QB42","22","157","334","225.0","69.8","-"
"307",13,"Cade Klubnik",NYJ,"QB43","22","158","317","225.0","66.0","-"
"308",13,"Savion Williams",GB,"WR123","24","266","324","289.6","17.0","-"
"309",13,"Tutu Atwell",MIA,"WR124","26","249","371","291.3","40.3","-"
"310",13,"Deion Burks",IND,"WR125","23","244","304","279.2","22.3","-"
"311",13,"Jack Endries",CIN,"TE51","22","254","321","293.1","23.5","-"
"312",13,"Jordan Whittington",LAR,"WR126","25","271","351","317.3","25.5","-"
"313",13,"Calvin Austin III",NYG,"WR127","27","244","323","282.2","28.9","-"
"314",14,"Joshua Palmer",BUF,"WR128","26","239","354","305.8","32.3","-"
"315",14,"Quinn Ewers",MIA,"QB44","23","146","350","243.3","74.8","-"
"316",14,"Jalen Tolbert",MIA,"WR129","27","240","319","287.3","25.1","-"
"317",14,"Dawson Knox",BUF,"TE52","29","243","361","300.0","33.1","-"
"318",14,"Emari Demercado",KC,"RB93","27","256","345","311.3","29.1","-"
"319",14,"CJ Daniels",LAR,"WR130","24","253","332","291.8","32.7","-"
"320",14,"George Holani",SEA,"RB94","26","257","339","292.5","28.9","-"
"321",14,"Matt Hibner",BAL,"TE53","24","251","320","292.8","22.2","-"
"322",14,"Cyrus Allen",KC,"WR131","23","249","327","293.3","24.2","-"
"323",14,"Tyler Higbee",LAR,"TE54","33","267","363","314.4","30.9","-"
"324",14,"Malik Benson",LV,"WR132","23","236","331","284.2","37.8","-"
"325",14,"Charlie Kolar",LAC,"TE55","27","231","343","286.2","45.6","-"
"326",14,"Zavion Thomas",CHI,"WR133","22","268","340","301.0","22.6","-"
"327",14,"Audric Estime",NO,"RB95","22","270","345","301.3","31.5","-"
"328",14,"Noah Gray",KC,"TE56","27","275","347","311.4","22.2","-"
"329",14,"Jam Miller",NE,"RB96","22","268","336","287.4","25.9","-"
"330",14,"Roman Hemby",LV,"RB97","23","272","329","304.2","20.1","-"
"331",14,"Erick All Jr.",CIN,"TE57","25","287","370","315.7","29.5","-"
"332",14,"Ja'Lynn Polk",NO,"WR134","24","217","337","293.8","51.7","-"
"333",14,"Jahan Dotson",ATL,"WR135","26","250","313","295.0","23.3","-"
"334",14,"Jaleel McLaughlin",DEN,"RB98","25","273","375","318.6","35.2","-"
"335",14,"Taylen Green",CLE,"QB45","23","177","324","249.0","60.0","-"
"336",14,"J'Mari Taylor",JAC,"RB99","24","264","339","298.6","30.0","-"
"337",14,"Garrett Nussmeier",KC,"QB46","24","167","338","250.0","69.9","-"
"338",14,"John Metchie III",CAR,"WR136","26","261","346","314.0","26.3","-"
"339",14,"Robert Henry Jr.",WAS,"RB100","24","257","342","303.4","30.3","-"
"340",14,"Malik Davis",DAL,"RB101","27","261","352","305.0","37.1","-"
"341",14,"Mitchell Evans",CAR,"TE58","23","288","369","317.2","32.6","-"
"342",14,"Cole Payton",PHI,"QB47","23","187","356","263.7","69.9","-"
"343",14,"KeAndre Lambert-Smith",LAC,"WR137","24","285","334","317.8","15.7","-"
"344",14,"Michael Trigg",DAL,"TE59","24","294","329","307.4","12.7","-"
"345",14,"Joe Mixon",FA,"RB102","30","258","333","293.8","27.9","-"
"346",14,"Noah Fant",NO,"TE60","28","269","360","309.8","36.9","-"
"347",14,"Luke Musgrave",GB,"TE61","25","307","335","320.2","11.5","-"
"348",14,"Josh Cameron",JAC,"WR138","23","292","344","310.6","18.1","-"
"349",14,"Will Howard",PIT,"QB48","24","207","357","271.0","63.2","-"
"350",14,"Jalen Milroe",SEA,"QB49","23","182","361","277.3","73.5","-"
"351",14,"Samaje Perine",CIN,"RB103","30","264","337","301.3","26.4","-"
"352",14,"Aaron Anderson",CLE,"WR139","23","242","349","284.0","46.6","-"
"353",14,"KaVontae Turpin",DAL,"WR140","30","245","358","307.5","49.5","-"
"354",14,"Barion Brown",NO,"WR141","22","279","358","320.4","26.7","-"
"355",14,"Tyson Bagent",CHI,"QB50","26","178","316","247.0","69.0","-"
"356",14,"Jonnu Smith",FA,"TE62","30","248","326","291.0","32.3","-"
"357",14,"Mack Hollins",NE,"WR142","32","263","355","312.8","40.8","-"
