"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"435",16,"Roman Wilson",PIT,"WR173","25","357","446","401.5","44.5","-"
"436",16,"Tommy Tremble",CAR,"TE91","26","366","409","387.5","21.5","-"
"437",16,"Eric McAlister",FA,"WR174","-","400","400","400.0","0.0","-"
"438",16,"Nick Chubb",FA,"RB119","30","401","401","401.0","0.0","-"
"439",16,"Jacob Cowing",SF,"WR175","25","403","403","403.0","0.0","-"
"440",16,"Jeremy McNichols",WAS,"RB120","30","406","406","406.0","0.0","-"
"441",16,"RJ Maryland",GB,"TE92","22","416","416","416.0","0.0","-"
"442",16,"Dillon Gabriel",CLE,"QB55","25","428","428","428.0","0.0","-"
"443",16,"Kalif Raymond",CHI,"WR176","32","429","429","429.0","0.0","-"
"444",16,"Xavier Restrepo",TEN,"WR177","24","433","433","433.0","0.0","-"
"445",16,"Tyrell Shavers",BUF,"WR178","26","440","440","440.0","0.0","-"
"446",16,"Theo Wease Jr.",MIA,"WR179","25","441","441","441.0","0.0","-"
"447",16,"Miles Sanders",FA,"RB121","29","445","445","445.0","0.0","-"
"448",16,"Tyler Lockett",LV,"WR180","33","447","447","447.0","0.0","-"
"449",16,"Diontae Johnson",FA,"WR181","30","448","448","448.0","0.0","-"
"450",16,"Davis Mills",HOU,"QB56","27","449","449","449.0","0.0","-"
"451",16,"Brandin Cooks",FA,"WR182","32","450","450","450.0","0.0","-"
"452",16,"Jermaine Burton",FA,"WR183","25","451","451","451.0","0.0","-"
"453",16,"Elijah Mitchell",PHI,"RB122","28","453","453","453.0","0.0","-"
"454",16,"Zack Moss",FA,"RB123","28","454","454","454.0","0.0","-"
"455",16,"Damien Martinez",GB,"RB124","22","455","455","455.0","0.0","-"
"456",16,"Raheem Mostert",LV,"RB125","34","456","456","456.0","0.0","-"
"457",16,"Alexander Mattison",FA,"RB126","28","457","457","457.0","0.0","-"
"458",16,"Sincere McCormick",SF,"RB127","25","458","458","458.0","0.0","-"
"459",16,"Khalil Herbert",FA,"RB128","28","459","459","459.0","0.0","-"
"460",16,"Dane Key",DEN,"WR184","23","460","460","460.0","0.0","-"
"461",16,"Harrison Wallace III",ARI,"WR185","23","461","461","461.0","0.0","-"
"462",16,"Romello Brinson",FA,"WR186","24","462","462","462.0","0.0","-"
"463",16,"Zamir White",LV,"RB129","26","463","463","463.0","0.0","-"
"464",16,"Noah Thomas",CIN,"WR187","22","464","464","464.0","0.0","-"
"465",16,"CJ Donaldson",NO,"RB130","22","465","465","465.0","0.0","-"
"466",16,"Noah Whittington",HOU,"RB131","24","466","466","466.0","0.0","-"
"467",16,"Daylan Smothers",FA,"RB132","21","467","467","467.0","0.0","-"
"468",16,"Desmond Reid",FA,"RB133","22","468","468","468.0","0.0","-"
"469",16,"Rahsul Faison",FA,"RB134","-","469","469","469.0","0.0","-"
"470",16,"Mark Fletcher",FA,"RB135","21","470","470","470.0","0.0","-"
"471",16,"Trebor Pena",JAC,"WR188","24","471","471","471.0","0.0","-"
"472",16,"Joe Flacco",CIN,"QB57","41","472","472","472.0","0.0","-"
"473",16,"Chip Trayanum",NYJ,"RB136","24","473","473","473.0","0.0","-"
"474",16,"Malachi Corley",CLE,"WR189","24","474","474","474.0","0.0","-"
"475",16,"Sam Howell",DAL,"QB58","25","475","475","475.0","0.0","-"
"476",16,"Riley Leonard",IND,"QB59","23","476","476","476.0","0.0","-"
"477",16,"Tyler Huntley",BAL,"QB60","28","477","477","477.0","0.0","-"
"478",16,"Zach Wilson",NO,"QB61","27","478","478","478.0","0.0","-"
"479",16,"Tanner McKee",PHI,"QB62","26","479","479","479.0","0.0","-"
"480",16,"Kenny McIntosh",FA,"RB137","26","480","480","480.0","0.0","-"
"481",16,"Brock Wright",DET,"TE93","27","481","481","481.0","0.0","-"
"482",16,"Carson Wentz",MIN,"QB63","33","482","482","482.0","0.0","-"
"483",16,"Davis Allen",LAR,"TE94","25","483","483","483.0","0.0","-"
"484",16,"Aidan O'Connell",LV,"QB64","27","484","484","484.0","0.0","-"
"485",16,"Javon Baker",FA,"WR190","24","485","485","485.0","0.0","-"
"486",16,"Trey Lance",LAC,"QB65","26","486","486","486.0","0.0","-"
"487",16,"Will Dissly",FA,"TE95","30","487","487","487.0","0.0","-"
"488",16,"Jackson Hawes",BUF,"TE96","25","488","488","488.0","0.0","-"
"489",16,"Jake Bobo",SEA,"WR191","28","489","489","489.0","0.0","-"
"490",16,"Will Levis",TEN,"QB66","27","490","490","490.0","0.0","-"
"491",16,"Kenny Pickett",CAR,"QB67","28","491","491","491.0","0.0","-"
"492",16,"Mason Rudolph",PIT,"QB68","31","492","492","492.0","0.0","-"
"493",16,"Greg Dortch",DET,"WR192","28","493","493","493.0","0.0","-"
"494",16,"Ashton Dulin",IND,"WR193","29","494","494","494.0","0.0","-"
"495",16,"Gardner Minshew II",ARI,"QB69","30","495","495","495.0","0.0","-"
"496",16,"Jake Browning",TB,"QB70","30","496","496","496.0","0.0","-"
"497",16,"Joshua Dobbs",FA,"QB71","31","497","497","497.0","0.0","-"
"498",16,"Hunter Long",JAC,"TE97","27","498","498","498.0","0.0","-"
"499",16,"Julian Hill",NE,"TE98","26","499","499","499.0","0.0","-"
"500",16,"Mitchell Trubisky",TEN,"QB72","31","500","500","500.0","0.0","-"
"501",16,"Isaiah Williams",FA,"WR194","39","501","501","501.0","0.0","-"
"502",16,"Noah Brown",FA,"WR195","30","502","502","502.0","0.0","-"
"503",16,"Josh Reynolds",FA,"WR196","31","503","503","503.0","0.0","-"
"504",16,"JuJu Smith-Schuster",NYG,"WR197","29","504","504","504.0","0.0","-"
