team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
ARI	1	1	0	0	0	0	0	0	0	0	0	0	13
ATL	1	1	0	0	0	0	0	0	0	0	0	0	23
BAL	1	1	0	0	0	0	0	0	0	0	0	0	41
BUF	1	2	0	0	0	1	0	0	0	0	0	0	40
CAR	1	0	1	0	0	0	0	0	0	0	0	0	26
CHI	1	3	1	0	1	0	0	0	0	0	0	0	27
CIN	1	2	2	0	0	0	0	0	0	0	0	0	16
CLE	1	3	0	0	0	0	0	0	0	0	0	0	17
DAL	1	1	0	0	0	0	0	0	0	0	0	0	24
DEN	1	6	0	0	0	2	0	0	0	0	0	0	12
DET	1	0	0	0	0	0	0	0	0	0	0	0	27
GB	1	4	1	0	0	0	0	0	0	0	0	0	13
HOU	1	3	0	0	0	1	0	0	0	0	0	0	14
IND	1	3	2	0	0	1	0	0	0	0	0	0	8
JAX	1	1	2	0	0	1	0	0	0	0	0	0	10
KC	1	3	0	0	0	0	0	0	0	0	0	0	27
LA	1	3	1	0	0	1	0	0	0	0	0	0	9
LAC	1	2	0	0	0	0	0	0	0	0	0	0	21
LV	1	4	1	0	0	0	0	0	0	0	0	0	13
MIA	1	1	0	0	0	0	0	0	0	0	0	0	33
MIN	1	2	0	0	0	1	0	0	0	0	0	0	24
NE	1	4	1	0	0	0	0	0	0	0	0	0	20
NO	1	5	0	0	0	0	0	0	0	0	1	0	20
NYG	1	3	0	0	0	0	0	0	0	0	0	0	21
NYJ	1	4	0	0	0	0	0	0	0	0	0	0	34
PHI	1	0	0	0	0	1	0	0	0	0	0	0	20
PIT	1	1	0	0	0	1	0	0	0	0	0	0	32
SEA	1	1	2	0	0	0	0	0	0	0	1	0	17
SF	1	1	0	0	0	2	0	0	0	0	0	0	13
TB	1	1	0	0	0	0	0	0	0	0	0	0	20
TEN	1	1	2	0	0	2	0	0	0	0	0	0	20
WAS	1	2	0	0	0	0	0	0	0	0	0	0	6
ARI	2	3	1	0	0	1	1	0	0	0	0	0	22
ATL	2	6	2	0	0	2	0	0	0	0	0	0	6
BAL	2	2	1	0	0	1	1	0	1	0	0	0	17
BUF	2	4	0	0	0	1	0	0	0	0	0	0	10
CAR	2	1	1	0	0	0	0	0	0	0	0	0	27
CHI	2	0	0	0	0	0	0	0	0	0	0	0	52
CIN	2	1	2	0	0	0	0	0	0	0	0	0	27
CLE	2	3	0	0	0	0	0	0	0	0	0	0	41
DAL	2	2	1	0	0	0	0	0	0	0	0	0	37
DEN	2	1	0	0	0	0	0	0	0	0	0	0	29
DET	2	4	1	0	0	1	0	0	0	0	0	0	21
GB	2	4	0	0	0	0	0	0	0	0	0	0	18
HOU	2	4	0	0	0	0	0	0	1	0	0	0	20
IND	2	0	1	0	0	0	0	0	0	0	0	0	28
JAX	2	3	3	0	0	0	0	0	0	0	0	0	31
KC	2	1	0	0	0	0	0	0	0	0	0	0	20
LA	2	5	0	0	0	1	0	0	0	0	0	0	19
LAC	2	3	3	0	0	0	0	0	0	0	0	0	9
LV	2	2	0	0	0	1	0	0	0	0	0	0	20
MIA	2	3	0	0	0	0	0	1	0	0	0	0	33
MIN	2	3	0	0	0	1	0	0	0	0	0	0	22
NE	2	5	1	0	0	0	0	1	0	0	0	0	27
NO	2	3	0	0	0	1	0	0	0	0	0	0	26
NYG	2	3	1	0	0	0	0	0	0	0	0	0	40
NYJ	2	1	0	0	0	0	0	0	0	0	0	0	30
PHI	2	2	1	0	0	0	0	0	0	0	0	0	17
PIT	2	2	2	0	0	0	0	0	0	0	0	0	31
SEA	2	3	2	0	0	0	0	1	0	0	0	0	17
SF	2	3	0	0	0	1	0	0	0	0	0	0	21
TB	2	3	0	0	0	0	0	0	0	0	0	0	19
TEN	2	1	1	0	0	0	0	0	0	1	0	0	33
WAS	2	2	0	0	0	0	0	0	0	0	0	0	27
ARI	3	1	1	1	0	0	0	0	0	0	0	0	16
ATL	3	1	0	0	0	1	0	0	0	0	0	0	30
BAL	3	0	0	0	0	0	0	0	0	0	0	0	38
BUF	3	0	1	0	0	0	0	0	0	0	0	0	21
CAR	3	0	2	0	1	1	0	0	0	0	0	0	0
CHI	3	2	3	0	0	1	0	0	0	0	0	0	14
CIN	3	3	0	0	0	0	0	0	0	0	0	0	48
CLE	3	5	1	0	0	0	0	0	0	0	1	0	10
DAL	3	0	0	0	0	0	0	0	0	0	0	0	31
DEN	3	5	1	0	0	1	0	0	0	0	0	0	23
DET	3	7	0	0	0	1	0	0	0	0	0	0	30
GB	3	2	1	0	0	0	0	0	0	0	0	0	13
HOU	3	2	1	0	0	0	0	0	0	0	0	0	17
IND	3	4	1	0	1	0	0	0	0	0	1	0	20
JAX	3	2	2	0	0	1	0	0	0	0	0	0	10
KC	3	2	2	0	0	0	0	0	0	1	0	0	9
LA	3	4	0	0	0	1	0	0	0	0	0	0	33
LAC	3	2	0	0	0	0	0	0	0	0	0	0	20
LV	3	1	0	0	0	1	0	0	0	0	0	0	41
MIA	3	2	0	0	0	0	0	0	0	0	0	0	31
