RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	AGE	SOS SEASON	ECR VS. ADP
1	1	Christian McCaffrey	CAR	RB1	13	25	2 out of 5 stars	0
2	1	Jonathan Taylor	IND	RB2	14	22	4 out of 5 stars	1
3	1	Dalvin Cook	MIN	RB3	7	26	3 out of 5 stars	-1
4	1	Saquon Barkley	NYG	RB4	10	24	2 out of 5 stars	3
5	2	Alvin Kamara	NO	RB5	6	26	2 out of 5 stars	-1
6	2	Tyreek Hill	KC	WR1	12	27	3 out of 5 stars	4
7	2	D.K. Metcalf	SEA	WR2	9	23	1 out of 5 stars	2
8	2	Justin Jefferson	MIN	WR3	7	22	3 out of 5 stars	-2
9	2	Davante Adams	GB	WR4	13	28	1 out of 5 stars	3
10	2	A.J. Brown	TEN	WR5	13	24	3 out of 5 stars	1
11	2	Nick Chubb	CLE	RB6	13	25	4 out of 5 stars	-3
12	3	Stefon Diggs	BUF	WR6	7	27	3 out of 5 stars	7
13	3	Calvin Ridley	ATL	WR7	6	26	4 out of 5 stars	10
14	3	Derrick Henry	TEN	RB7	13	27	3 out of 5 stars	-9
15	3	Najee Harris	PIT	RB8	7	23	5 out of 5 stars	-2
16	3	CeeDee Lamb	DAL	WR8	7	22	1 out of 5 stars	4
17	3	Aaron Jones	GB	RB9	13	26	0 out of 5 stars	0
18	3	Antonio Gibson	WAS	RB10	9	23	3 out of 5 stars	-2
19	3	Travis Kelce	KC	TE1	12	31	3 out of 5 stars	-4
20	3	Ezekiel Elliott	DAL	RB11	7	26	2 out of 5 stars	-6
21	3	DeAndre Hopkins	ARI	WR9	12	29	2 out of 5 stars	3
22	4	D'Andre Swift	DET	RB12	9	22	0 out of 5 stars	-1
23	4	Terry McLaurin	WAS	WR10	9	25	3 out of 5 stars	5
24	4	Patrick Mahomes II	KC	QB1	12	25	4 out of 5 stars	-6
25	4	Joe Mixon	CIN	RB13	10	25	3 out of 5 stars	1
26	4	Clyde Edwards-Helaire	KC	RB14	12	22	4 out of 5 stars	-4
27	4	George Kittle	SF	TE2	6	27	4 out of 5 stars	0
28	4	Austin Ekeler	LAC	RB15	7	26	4 out of 5 stars	-3
29	4	Chris Godwin	TB	WR11	9	25	2 out of 5 stars	5
30	4	Allen Robinson II	CHI	WR12	10	28	3 out of 5 stars	5
31	4	Ja'Marr Chase	CIN	WR13	10	21	2 out of 5 stars	55
32	5	D.J. Moore	CAR	WR14	13	24	5 out of 5 stars	0
33	5	Kyle Pitts	ATL	TE3	6	20	2 out of 5 stars	57
34	5	Amari Cooper	DAL	WR15	7	27	1 out of 5 stars	15
35	5	Brandon Aiyuk	SF	WR16	6	23	5 out of 5 stars	4
36	5	Tee Higgins	CIN	WR17	10	22	2 out of 5 stars	5
37	5	Darren Waller	LV	TE4	8	29	4 out of 5 stars	-8
38	5	J.K. Dobbins	BAL	RB16	8	22	4 out of 5 stars	-
39	5	Keenan Allen	LAC	WR18	7	29	3 out of 5 stars	7
40	5	Mike Evans	TB	WR19	9	28	2 out of 5 stars	2
41	5	Javonte Williams	DEN	RB17	11	21	5 out of 5 stars	-4
42	5	David Montgomery	CHI	RB18	10	24	3 out of 5 stars	-9
43	5	Michael Thomas	NO	WR20	6	28	4 out of 5 stars	-5
44	5	Josh Allen	BUF	QB2	7	25	1 out of 5 stars	-14
45	5	Kyler Murray	ARI	QB3	12	24	2 out of 5 stars	-14
46	5	Miles Sanders	PHI	RB19	14	24	3 out of 5 stars	1
47	5	Diontae Johnson	PIT	WR21	7	25	2 out of 5 stars	4
48	5	Jerry Jeudy	DEN	WR22	11	22	4 out of 5 stars	4
49	6	Josh Jacobs	LV	RB20	8	23	2 out of 5 stars	-13
50	6	Kenny Golladay	NYG	WR23	10	27	3 out of 5 stars	7
51	6	DeVonta Smith	PHI	WR24	14	22	3 out of 5 stars	21
52	6	Robert Woods	LAR	WR25	11	29	5 out of 5 stars	3
53	6	Dak Prescott	DAL	QB4	7	28	2 out of 5 stars	-9
54	6	Courtland Sutton	DEN	WR26	11	25	4 out of 5 stars	7
55	6	Lamar Jackson	BAL	QB5	8	24	2 out of 5 stars	-15
56	6	Cooper Kupp	LAR	WR27	11	28	5 out of 5 stars	6
57	6	Chris Carson	SEA	RB21	9	26	1 out of 5 stars	-12
58	6	T.J. Hockenson	DET	TE5	9	24	4 out of 5 stars	2
59	6	Chase Claypool	PIT	WR28	7	23	2 out of 5 stars	-11
60	6	Travis Etienne Jr.	JAC	RB22	7	22	4 out of 5 stars	-
61	6	Jaylen Waddle	MIA	WR29	14	22	3 out of 5 stars	-7
62	6	Kareem Hunt	CLE	RB23	13	26	4 out of 5 stars	2
63	6	Tyler Lockett	SEA	WR30	9	28	1 out of 5 stars	2
64	6	Julio Jones	TEN	WR31	13	32	3 out of 5 stars	-1
65	6	Mark Andrews	BAL	TE6	8	26	4 out of 5 stars	-15
66	6	Justin Herbert	LAC	QB6	7	23	2 out of 5 stars	-23
67	6	Trey Sermon	SF	RB24	6	22	3 out of 5 stars	-14
68	6	JuJu Smith-Schuster	PIT	WR32	7	24	2 out of 5 stars	-9
69	7	Cam Akers	LAR	RB25	11	22	4 out of 5 stars	-
70	7	Odell Beckham Jr.	CLE	WR33	13	28	1 out of 5 stars	-1
71	7	D.J. Chark Jr.	JAC	WR34	7	24	5 out of 5 stars	8
72	7	Russell Wilson	SEA	QB7	9	32	0 out of 5 stars	-14
73	7	James Robinson	JAC	RB26	7	23	4 out of 5 stars	-6
74	7	Michael Carter	NYJ	RB27	6	22	4 out of 5 stars	-8
75	7	Joe Burrow	CIN	QB8	10	24	2 out of 5 stars	-5
76	7	Trevor Lawrence	JAC	QB9	7	21	4 out of 5 stars	-1
77	7	Deebo Samuel	SF	WR35	6	25	5 out of 5 stars	-6
78	7	Noah Fant	DEN	TE7	11	23	4 out of 5 stars	37
79	7	Tyler Boyd	CIN	WR36	10	26	2 out of 5 stars	5
80	7	Adam Thielen	MIN	WR37	7	31	3 out of 5 stars	-6
81	7	Rashod Bateman	BAL	WR38	8	21	2 out of 5 stars	-8
82	7	Darrell Henderson	LAR	RB28	11	24	4 out of 5 stars	3
83	7	Laviska Shenault Jr.	JAC	WR39	7	22	5 out of 5 stars	-3
84	7	Damien Harris	NE	RB29	14	24	3 out of 5 stars	-7
85	7	Myles Gaskin	MIA	RB30	14	24	4 out of 5 stars	-29
86	7	Dallas Goedert	PHI	TE8	14	26	3 out of 5 stars	-3
87	7	Ronald Jones II	TB	RB31	9	24	0 out of 5 stars	-5
88	7	AJ Dillon	GB	RB32	13	23	0 out of 5 stars	-12
89	7	Elijah Moore	NYJ	WR40	6	21	4 out of 5 stars	32
90	7	Will Fuller V	MIA	WR41	14	27	3 out of 5 stars	3
91	8	Trey Lance	SF	QB10	6	21	5 out of 5 stars	-4
92	8	Chase Edmonds	ARI	RB33	12	25	3 out of 5 stars	-24
93	8	Curtis Samuel	WAS	WR42	9	25	3 out of 5 stars	32
94	8	Michael Pittman Jr.	IND	WR43	14	23	5 out of 5 stars	30
95	8	Zack Moss	BUF	RB34	7	23	3 out of 5 stars	-7
96	8	Mike Davis	ATL	RB35	6	28	2 out of 5 stars	26
97	8	Justin Fields	CHI	QB11	10	22	2 out of 5 stars	-6
98	8	Aaron Rodgers	GB	QB12	13	37	2 out of 5 stars	-17
99	8	Melvin Gordon III	DEN	RB36	11	28	5 out of 5 stars	27
100	8	Corey Davis	NYJ	WR44	6	26	4 out of 5 stars	5
101	8	Tony Pollard	DAL	RB37	7	24	2 out of 5 stars	33
102	8	Michael Gallup	DAL	WR45	7	25	1 out of 5 stars	29
103	8	Mike Gesicki	MIA	TE9	14	25	4 out of 5 stars	-14
104	8	Robby Anderson	CAR	WR46	13	28	5 out of 5 stars	-12
105	8	Brandin Cooks	HOU	WR47	10	27	3 out of 5 stars	27
106	8	Raheem Mostert	SF	RB38	6	29	3 out of 5 stars	-28
107	8	Jarvis Landry	CLE	WR48	13	28	1 out of 5 stars	-7
108	8	Jonnu Smith	NE	TE10	14	26	5 out of 5 stars	11
109	8	Tua Tagovailoa	MIA	QB13	14	23	4 out of 5 stars	3
110	8	Leonard Fournette	TB	RB39	9	26	0 out of 5 stars	-15
111	8	Darnell Mooney	CHI	WR49	10	23	3 out of 5 stars	-8
112	8	Rondale Moore	ARI	WR50	12	21	2 out of 5 stars	-11
113	8	Ryan Tannehill	TEN	QB14	13	33	2 out of 5 stars	-9
114	8	Irv Smith Jr.	MIN	TE11	7	23	2 out of 5 stars	-
115	8	Terrace Marshall Jr.	CAR	WR51	13	21	5 out of 5 stars	-16
116	8	Robert Tonyan	GB	TE12	13	27	3 out of 5 stars	-6
117	8	Kenyan Drake	LV	RB40	8	27	2 out of 5 stars	-9
118	8	Jalen Hurts	PHI	QB15	14	23	4 out of 5 stars	-24
119	8	James Conner	ARI	RB41	12	26	3 out of 5 stars	16
120	9	Henry Ruggs III	LV	WR52	8	22	1 out of 5 stars	-14
121	9	Marquise Brown	BAL	WR53	8	24	2 out of 5 stars	-19
122	9	Zach Wilson	NYJ	QB16	6	22	3 out of 5 stars	1
123	9	Devin Singletary	BUF	RB42	7	24	3 out of 5 stars	-16
124	9	Deshaun Watson	HOU	QB17	10	25	4 out of 5 stars	-28
125	9	Logan Thomas	WAS	TE13	9	30	3 out of 5 stars	-27
126	9	Matthew Stafford	LAR	QB18	11	33	4 out of 5 stars	-13
127	9	Jalen Reagor	PHI	WR54	14	22	3 out of 5 stars	9
128	9	DeVante Parker	MIA	WR55	14	28	3 out of 5 stars	12
129	9	Mike Williams	LAC	WR56	7	26	3 out of 5 stars	-32
130	9	Hunter Henry	NE	TE14	14	26	5 out of 5 stars	8
131	9	Cole Kmet	CHI	TE15	10	22	1 out of 5 stars	24
132	9	Gus Edwards	BAL	RB43	8	26	4 out of 5 stars	-23
133	9	Baker Mayfield	CLE	QB19	13	26	3 out of 5 stars	-16
134	9	Evan Engram	NYG	TE16	10	27	3 out of 5 stars	8
135	9	Tyler Higbee	LAR	TE17	11	28	2 out of 5 stars	-17
136	9	Kenneth Gainwell	PHI	RB44	14	22	3 out of 5 stars	7
137	9	Nyheim Hines	IND	RB45	14	24	4 out of 5 stars	2
138	9	Amon-Ra St. Brown	DET	WR57	9	21	1 out of 5 stars	-18
139	9	Alexander Mattison	MIN	RB46	7	23	3 out of 5 stars	8
140	9	Mecole Hardman	KC	WR58	12	23	3 out of 5 stars	-29
141	9	Phillip Lindsay	HOU	RB47	10	27	4 out of 5 stars	16
142	9	David Johnson	HOU	RB48	10	29	4 out of 5 stars	-5
143	9	Matt Ryan	ATL	QB20	6	36	3 out of 5 stars	45
144	9	Parris Campbell	IND	WR59	14	24	5 out of 5 stars	16
145	9	Tom Brady	TB	QB21	9	44	2 out of 5 stars	-15
146	9	Antonio Brown	TB	WR60	9	33	2 out of 5 stars	-30
147	10	Adam Trautman	NO	TE18	6	24	4 out of 5 stars	11
148	10	Kirk Cousins	MIN	QB22	7	33	3 out of 5 stars	41
149	10	Austin Hooper	CLE	TE19	13	26	2 out of 5 stars	25
150	10	Mac Jones	NE	QB23	14	23	5 out of 5 stars	2
151	10	Jamaal Williams	DET	RB49	9	26	0 out of 5 stars	2
152	10	Carson Wentz	IND	QB24	14	28	4 out of 5 stars	34
153	10	Bryan Edwards	LV	WR61	8	22	1 out of 5 stars	12
154	10	Tarik Cohen	CHI	RB50	10	26	3 out of 5 stars	12
155	10	Rhamondre Stevenson	NE	RB51	14	23	3 out of 5 stars	-28
156	10	Christian Kirk	ARI	WR62	12	24	2 out of 5 stars	6
157	10	Gabriel Davis	BUF	WR63	7	22	3 out of 5 stars	-11
158	10	Sony Michel	LAR	RB52	11	26	4 out of 5 stars	33
159	10	J.D. McKissic	WAS	RB53	9	28	3 out of 5 stars	-31
160	10	Gerald Everett	SEA	TE20	9	27	1 out of 5 stars	33
161	10	Rashaad Penny	SEA	RB54	9	25	1 out of 5 stars	6
162	10	Marvin Jones Jr.	JAC	WR64	7	31	5 out of 5 stars	-33
163	10	Pat Freiermuth	PIT	TE21	7	22	5 out of 5 stars	-4
164	10	Derek Carr	LV	QB25	8	30	3 out of 5 stars	66
