team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
ARI	1	3	0	0	0	0	0	0	1	0	0	0	20
ATL	1	3	0	0	0	0	0	0	0	0	0	0	38
BAL	1	2	1	0	0	2	0	0	0	0	0	0	6
BUF	1	3	1	0	0	1	0	0	0	0	0	0	17
CAR	1	0	0	0	0	0	0	0	0	0	0	0	34
CHI	1	1	1	0	0	0	0	0	0	0	0	0	23
CIN	1	2	0	0	0	0	0	0	0	0	0	0	16
CLE	1	2	0	0	0	1	0	0	0	0	0	0	38
DAL	1	1	1	0	0	0	0	0	0	0	0	0	20
DEN	1	1	0	0	0	0	0	0	0	0	1	0	16
DET	1	1	0	0	0	0	0	0	0	0	0	0	27
GB	1	2	1	1	0	0	0	0	0	0	0	0	34
HOU	1	1	0	0	0	0	0	0	0	0	0	0	34
IND	1	4	0	0	0	0	0	0	0	0	0	0	27
JAX	1	1	2	0	0	0	0	0	0	0	0	0	20
KC	1	4	1	0	0	0	0	0	0	0	0	0	20
LA	1	3	0	0	0	0	0	0	0	0	0	0	17
LAC	1	3	1	0	0	1	0	0	0	0	0	0	13
LV	1	1	0	0	0	0	0	0	0	0	0	0	30
MIA	1	2	0	0	0	0	0	0	0	0	0	0	21
MIN	1	0	0	0	0	0	0	0	0	0	0	0	43
NE	1	1	3	0	0	0	0	0	0	0	0	0	11
NO	1	3	2	0	1	1	0	0	0	0	1	0	23
NYG	1	2	0	0	0	1	0	0	0	0	0	0	26
NYJ	1	3	0	0	0	2	0	0	0	0	0	0	27
PHI	1	3	0	0	0	0	0	0	0	0	0	0	27
PIT	1	3	2	0	0	0	0	0	0	0	0	0	16
SEA	1	2	1	0	0	1	0	0	0	0	0	0	25
SF	1	2	1	0	0	0	0	0	0	0	0	0	24
TB	1	1	0	0	0	0	0	0	0	0	0	0	34
TEN	1	0	0	0	0	1	0	0	0	0	0	0	14
WAS	1	8	2	0	0	1	0	0	0	0	0	0	17
ARI	2	4	0	0	0	2	0	0	0	0	0	0	15
ATL	2	1	0	0	0	3	0	0	0	0	0	0	40
BAL	2	4	1	0	0	1	1	0	0	0	0	0	16
BUF	2	3	0	0	0	0	0	0	0	0	0	0	28
CAR	2	0	1	0	0	1	0	0	0	0	0	0	31
CHI	2	4	1	0	0	1	0	0	0	0	0	0	13
CIN	2	0	1	0	0	0	0	0	0	0	0	0	35
CLE	2	3	0	0	0	1	0	0	0	0	0	0	30
DAL	2	1	0	0	0	0	0	0	0	0	0	0	39
DEN	2	1	1	0	0	1	0	0	0	0	0	0	26
DET	2	1	0	0	0	0	0	0	0	0	0	0	42
GB	2	4	1	0	1	0	0	0	0	0	0	0	21
HOU	2	4	0	0	0	0	0	0	0	0	0	0	33
IND	2	3	3	1	0	0	0	0	0	0	0	0	11
JAX	2	1	0	0	0	0	0	0	0	0	0	0	33
KC	2	2	1	0	0	0	0	0	0	0	0	0	20
LA	2	0	2	0	0	1	0	0	0	0	0	0	19
LAC	2	1	0	0	0	0	0	0	0	1	0	0	23
LV	2	0	1	0	0	0	0	0	0	0	0	0	24
MIA	2	1	0	0	0	1	0	0	0	0	0	0	31
MIN	2	2	1	0	0	0	0	0	0	0	0	0	28
NE	2	2	1	0	1	0	0	0	0	0	0	0	35
NO	2	3	0	0	0	1	0	0	0	0	0	0	34
NYG	2	4	2	0	0	0	0	0	0	0	0	0	17
NYJ	2	3	1	0	0	0	0	0	0	0	0	0	31
PHI	2	1	0	0	0	1	0	0	0	1	0	0	37
PIT	2	7	1	1	0	1	0	0	0	0	0	0	21
SEA	2	1	1	0	0	0	0	0	0	0	0	0	30
SF	2	1	0	0	0	0	0	0	0	0	0	0	13
TB	2	5	2	0	0	2	0	0	0	0	0	0	17
TEN	2	2	2	0	0	0	0	0	0	0	0	0	30
WAS	2	3	1	0	0	0	0	0	0	0	0	0	30
ARI	3	4	0	0	0	0	0	0	0	0	0	0	26
ATL	3	2	2	0	0	0	0	0	0	0	0	0	30
BAL	3	0	0	0	0	1	0	1	0	0	0	0	34
BUF	3	2	1	0	0	1	0	0	0	0	0	0	32
CAR	3	2	1	0	0	3	0	0	0	0	0	0	16
CHI	3	2	1	0	0	0	0	0	0	0	0	0	26
CIN	3	3	2	0	0	0	0	0	0	0	0	0	23
CLE	3	3	3	0	0	2	0	0	0	0	0	0	20
DAL	3	4	0	0	0	0	0	0	0	0	0	0	38
DEN	3	2	0	0	0	0	0	0	0	1	0	0	28
DET	3	1	3	0	0	0	0	0	0	0	0	0	23
GB	3	2	0	0	0	1	0	0	0	0	0	0	30
HOU	3	2	0	0	0	0	0	0	0	0	0	0	28
IND	3	2	3	1	2	0	0	0	0	0	0	0	7
JAX	3	1	0	0	0	0	0	0	0	0	0	0	31
KC	3	4	0	0	0	1	0	0	0	0	0	0	20
LA	3	4	1	0	0	1	0	0	0	0	0	0	35
LAC	3	2	0	0	0	0	0	0	0	1	0	0	21
LV	3	2	1	0	0	0	0	0	0	0	0	0	36
MIA	3	4	1	0	0	1	0	0	0	0	0	0	13
MIN	3	2	1	0	0	0	0	0	0	0	0	0	31
NE	3	2	0	0	0	3	1	0	0	0	0	0	20
