RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	AGE	SOS SEASON	ECR VS. ADP
1	1	Breece Hall	NYJ	RB1	10	21	4 out of 5 stars	0
2	1	Drake London	ATL	WR1	14	21	4 out of 5 stars	0
3	1	Ken Walker III	SEA	RB2	11	21	2 out of 5 stars	1
4	2	Jameson Williams	DET	WR2	6	21	3 out of 5 stars	2
5	2	Treylon Burks	TEN	WR3	6	22	3 out of 5 stars	-2
6	2	Chris Olave	NO	WR4	14	22	4 out of 5 stars	1
7	2	Garrett Wilson	NYJ	WR5	10	22	1 out of 5 stars	-2
8	2	George Pickens	PIT	WR6	9	21	4 out of 5 stars	3
9	2	Skyy Moore	KC	WR7	8	21	2 out of 5 stars	-1
10	2	Jahan Dotson	WAS	WR8	14	22	4 out of 5 stars	0
11	3	Dameon Pierce	HOU	RB3	6	22	3 out of 5 stars	5
12	3	James Cook	BUF	RB4	7	22	4 out of 5 stars	0
13	3	Christian Watson	GB	WR9	14	23	3 out of 5 stars	-4
14	3	Rachaad White	TB	RB5	11	23	2 out of 5 stars	-1
15	3	Jalen Tolbert	DAL	WR10	9	23	3 out of 5 stars	5
16	4	Brian Robinson Jr.	WAS	RB6	14	23	4 out of 5 stars	9
17	4	Isaiah Spiller	LAC	RB7	8	21	2 out of 5 stars	0
18	4	David Bell	CLE	WR11	9	21	4 out of 5 stars	-3
19	4	Wan'Dale Robinson	NYG	WR12	9	21	4 out of 5 stars	0
20	4	Kenny Pickett	PIT	QB1	9	24	3 out of 5 stars	6
21	4	Trey McBride	ARI	TE1	13	22	3 out of 5 stars	2
22	4	Alec Pierce	IND	WR13	14	22	4 out of 5 stars	-4
23	4	Zamir White	LV	RB8	6	22	2 out of 5 stars	-2
24	4	Tyler Allgeier	ATL	RB9	14	22	1 out of 5 stars	-2
25	4	Tyrion Davis-Price	SF	RB10	9	21	2 out of 5 stars	-1
26	4	Romeo Doubs	GB	WR14	14	22	3 out of 5 stars	6
27	4	Malik Willis	TEN	QB2	6	23	4 out of 5 stars	4
28	4	Desmond Ridder	ATL	QB3	14	23	3 out of 5 stars	13
29	5	Isiah Pacheco	KC	RB11	8	22	3 out of 5 stars	-
30	5	Tyquan Thornton	NE	WR15	10	22	4 out of 5 stars	-1
31	5	Khalil Shakir	BUF	WR16	7	22	4 out of 5 stars	-1
32	5	Pierre Strong Jr.	NE	RB12	10	23	4 out of 5 stars	2
33	5	Greg Dulcich	DEN	TE2	9	22	3 out of 5 stars	2
34	5	Hassan Haskins	TEN	RB13	6	22	4 out of 5 stars	-1
35	5	Daniel Bellinger	NYG	TE3	9	21	4 out of 5 stars	9
36	5	Jelani Woods	IND	TE4	14	23	2 out of 5 stars	-8
37	5	Isaiah Likely	BAL	TE5	10	22	2 out of 5 stars	15
38	5	Kyle Philips	TEN	WR17	6	23	3 out of 5 stars	-
39	5	John Metchie III	HOU	WR18	6	22	3 out of 5 stars	-25
40	5	Danny Gray	SF	WR19	9	23	3 out of 5 stars	2
41	6	Jerome Ford	CLE	RB14	9	22	3 out of 5 stars	2
42	6	Velus Jones Jr.	CHI	WR20	14	25	3 out of 5 stars	-15
43	6	Keaontay Ingram	ARI	RB15	13	22	2 out of 5 stars	-7
44	6	Calvin Austin III	PIT	WR21	9	23	4 out of 5 stars	-5
45	6	Sam Howell	WAS	QB4	14	21	4 out of 5 stars	4
46	6	Cade Otton	TB	TE6	11	23	3 out of 5 stars	-1
47	6	Kyren Williams	LAR	RB16	7	22	2 out of 5 stars	-9
48	6	Ty Chandler	MIN	RB17	7	24	4 out of 5 stars	-2
49	6	Jeremy Ruckert	NYJ	TE7	10	22	3 out of 5 stars	-2
50	6	Snoop Conner	JAC	RB18	11	22	3 out of 5 stars	-2
51	6	Matt Corral	CAR	QB5	13	23	3 out of 5 stars	-
52	6	Tyler Badie	BAL	RB19	10	22	4 out of 5 stars	-15
53	6	Jake Ferguson	DAL	TE8	9	23	3 out of 5 stars	1
54	6	Charlie Kolar	BAL	TE9	10	23	2 out of 5 stars	3
55	7	Chigoziem Okonkwo	TEN	TE10	6	23	5 out of 5 stars	-
56	7	Justyn Ross	KC	WR22	8	22	2 out of 5 stars	-16
57	7	Kevin Harris	NE	RB20	10	21	4 out of 5 stars	-2
58	7	Trestan Ebner	CHI	RB21	14	23	5 out of 5 stars	-8
59	7	Erik Ezukanma	MIA	WR23	11	22	2 out of 5 stars	-8
60	7	Samori Toure	GB	WR24	14	24	3 out of 5 stars	-
61	7	Jaylen Warren	PIT	RB22	9	23	3 out of 5 stars	-
62	7	Bo Melton	SEA	WR25	11	23	4 out of 5 stars	-9
63	7	Cole Turner	WAS	TE11	14	-	4 out of 5 stars	-
64	7	Kennedy Brooks	PHI	RB23	7	23	3 out of 5 stars	-
65	7	Bailey Zappe	NE	QB6	10	23	4 out of 5 stars	-
66	7	Grant Calcaterra	PHI	TE12	7	23	2 out of 5 stars	-
67	7	Tyler Goodson	GB	RB24	14	21	3 out of 5 stars	-
68	7	Carson Strong	FA	QB7	-	22	-	-
69	7	D'Vonte Price	IND	RB25	14	23	3 out of 5 stars	-
70	7	Jalen Nailor	MIN	WR26	7	23	2 out of 5 stars	-
71	7	Sincere McCormick	LV	RB26	6	21	2 out of 5 stars	-
72	7	Abram Smith	FA	RB27	-	23	-	-
73	7	Jerrion Ealy	KC	RB28	8	22	3 out of 5 stars	-
74	7	Jalen Wydermyer	NE	TE13	10	21	4 out of 5 stars	-18
75	8	Montrell Washington	DEN	WR27	9	23	4 out of 5 stars	-
76	8	Zonovan Knight	NYJ	RB29	10	-	4 out of 5 stars	-
77	8	James Mitchell	DET	TE14	6	23	4 out of 5 stars	-
78	8	Kevin Austin Jr.	JAC	WR28	11	22	4 out of 5 stars	-
79	8	Skylar Thompson	MIA	QB8	11	25	2 out of 5 stars	-
80	8	Charleston Rambo	FA	WR29	-	23	-	-
81	8	Makai Polk	BAL	WR30	10	21	3 out of 5 stars	-
82	8	Dontario Drummond	DAL	WR31	9	25	3 out of 5 stars	-
83	8	Max Borghi	FA	RB30	-	22	-	-
84	8	Michael Woods II	FA	WR32	-	22	-	-
