Rank	Overall	Team	Pos	Bye	Best	Worst	Avg	Std Dev	ADP	vs. ADP
384	Ryan Switzer	PIT	WR131	7	218	411	305.8	52.6	441	57
385	Ameer Abdullah	MIN	RB107	12	304	514	344.8	49.5	508	123
386	Chad Beebe	MIN	WR132	12	208	382	283.1	54.8	492	106
387	Jakeem Grant	MIA	WR133	5	204	362	297.3	53.6	1,018.00	631
388	Damarea Crockett	HOU	RB108	10	211	425	319.4	57	464	76
389	Mark Walton	MIA	RB109	5	263	361	323.6	23.8	1,025.00	636
390	Cody Latimer	NYG	WR134	11	195	352	277	45.3	380	-10
391	Drew Lock	DEN	QB37	10	239	418	325.7	44.1	345	-46
392	Trenton Cannon	NYJ	RB110	4	248	420	344.8	29.4	425	33
393	Preston Williams	MIA	WR135	5	216	409	304.7	53.1	304	-89
394	Darrel Williams	KC	RB111	12	200	402	329.4	50.5	367	-27
395	Kahale Warring	HOU	TE53	10	265	364	322.3	27.2	417	22
396	Riley Ridley	CHI	WR136	6	245	386	332.4	29.3	286	-110
397	Blake Bortles	LAR	QB38	9	261	461	337.9	53.4	388	-9
398	Rodney Anderson	CIN	RB112	9	266	498	350.4	50.7	320	-78
399	Allen Hurns	MIA	WR137	5	175	390	333.4	33.5	714	315
400	Jordan Scarlett	CAR	RB113	7	193	460	343.8	47.9	378	-22
401	Austin Seferian-Jenkins	FA	TE54		242	358	282.3	35.1	583	182
402	Darius Slayton	NYG	WR138	11	243	385	333.2	45.5	468	66
403	Mike Boone	MIN	RB114	12	274	409	333.8	38.6	1,007.00	604
404	Cody Parkey	FA	K30		223	319	297.3	16.3	368	-36
405	Jordan Matthews	SF	WR139	4	250	456	331.5	49	452	47
406	Ty Johnson	DET	RB115	5	231	422	304.5	64.5	423	17
407	Tyler Kroft	BUF	TE55	6	242	373	321.9	42.6	420	13
408	Taysom Hill	NO	QB39	9	258	466	354.4	56.4	381	-27
409	Cincinnati (CIN)		DST31	9	255	354	320.4	18.9	336	-73
410	Travis Homer	SEA	RB116	11	182	406	322.4	60.3	493	83
411	Torrey Smith	CAR	WR140	7	248	402	336.9	36.6	563	152
412	Jarius Wright	CAR	WR141	7	253	376	326.8	36.9	449	37
413	Marcus Murphy	BUF	RB117	6	316	463	348.1	41.3	959	546
414	Jeff Heuerman	DEN	TE56	10	192	370	319.1	55.3	432	18
415	Alex Collins	FA	RB118		155	332	299.8	33.8	409	-6
416	Demetrius Harris	CLE	TE57	7	269	375	321.7	30.7	429	13
417	Kevin White	ARI	WR142	12	213	403	323	49	518	101
418	Chris Moore	BAL	WR143	8	172	313	276.4	24.9	356	-62
419	Elijah Holyfield	CAR	RB119	7	79	557	298.8	153.3	335	-84
420	Alex Erickson	CIN	WR144	9	297	370	340.9	20.4	1,009.00	589
421	Karan Higdon	HOU	RB120	10	227	625	363.3	104.8	502	81
422	Jason Croom	BUF	TE58	6	232	391	306	50.4	919	497
423	Oakland (OAK)		DST32	6	288	355	330.9	17.4	297	-126
424	Dez Bryant	FA	WR145		242	347	287.4	39	301	-123
425	Foster Moreau	OAK	TE59	6	249	392	314	46.6	498	73
426	Scott Miller	TB	WR146	7	259	392	348.1	35.4
427	Rhett Ellison	NYG	TE60	11	279	387	322.8	42.9	653	226
428	Tajae Sharpe	TEN	WR147	11	252	408	323.7	50.5	457	29
429	Randy Bullock	CIN	K31	9	308	353	323.7	14	413	-16
430	Zane Gonzalez	ARI	K32	12	301	339	324.2	10.5	347	-83
431	Javorius Allen	FA	RB121		264	386	329.8	27.4	442	11
432	Jordan Akins	HOU	TE61	10	215	380	308	57.5	890	458
433	Pierre Garcon	FA	WR148		257	302	275.5	18.6	541	108
434	Seth Roberts	BAL	WR149	8	246	368	337.3	32.6	454	20
435	Mo Alie-Cox	IND	TE62	6	293	410	341.8	41.7	448	13
436	J.J. Nelson	OAK	WR150	6	285	389	343	26.5	515	79
437	Eli Rogers	PIT	WR151	7	288	401	343.2	33.7	658	221
438	Chad Williams	ARI	WR152	12	278	397	324	43.8	557	119
439	LeGarrette Blount	FA	RB122		302	337	324.4	10	402	-37
440	James O'Shaughnessy	JAC	TE63	10	270	374	327.6	39.8	459	19
441	Josh Hill	NO	TE64	9	277	355	328.6	18.4	401	-40
442	Jacob Hollister	SEA	TE65	11	264	459	335.4	65.6	864	422
443	DeAndre Carter	HOU	WR153	10	304	393	341.8	29.3	544	101
444	Marcell Ateman	OAK	WR154	6	305	373	343	22.8	803	359
445	Teddy Bridgewater	NO	QB40	9	317	578	392.1	85.8	377	-68
446	Nick Boyle	BAL	TE66	8	248	369	319.3	46.3	690	244
447	Mack Hollins	PHI	WR155	10	295	354	319.8	21.4	783	336
448	J.D. McKissic	SEA	RB123	11	238	619	391.7	114.8	1,020.00	572
449	Justin Hardy	ATL	WR156	9	281	372	346.8	23.3	1,017.00	568
450	Nick Mullens	SF	QB41	4	260	618	381.2	131.2	462	12
451	Xavier Grimble	PIT	TE67	7	264	380	323	50.2	880	429
452	Eddy Pineiro	CHI	K33	6	298	342	323.5	17.7	334	-118
453	Kyle Juszczyk	SF	RB124	4	237	385	348.6	43.7	439	-14
454	Alex Barnes	TEN	RB125	11	260	474	369.7	51.5	469	15
455	Jordan Taylor	MIN	WR157	12	272	367	325.5	35.4	1,002.00	547
456	Blake Bell	KC	TE68	12	268	388	350	46.3	396	-60
457	Tavon Austin	DAL	WR158	8	286	376	327.8	32.5	404	-53
458	Jason Sanders	MIA	K34	5	316	339	328.5	8.6	390	-68
459	Josh Ferguson	HOU	RB126	10	169	431	330	98.1	1,022.00	563
460	Virgil Green	LAC	TE69	12	291	350	330.8	23.4	517	57
461	Emanuel Hall	CHI	WR159	6	297	730	411.8	160.8	361	-100
462	Russell Shepard	NYG	WR160	11	321	347	333.5	9.3	1,001.00	539
463	Drew Sample	CIN	TE70	9	257	476	342.3	88.8	495	32
464	Richie James	SF	WR161	4	253	384	336	49.5	871	407
465	Brandon Powell	DET	WR162	5	338	375	359	13.1	602	137
466	Austin Carr	NO	WR163	9	328	382	359.2	21.8	555	89
467	Jordan Lasley	OAK	WR164	6	268	758	417	198.6	603	136
468	Garrett Celek	SF	TE71	4	239	379	341.3	59.1	708	240
469	Matt Gay	TB	K35	7	295	315	308	9.2	300	-169
470	C.J. Prosise	SEA	RB127	11	238	489	354.3	93.6	609	139
471	Corey Grant	FA	RB128		284	454	346.5	64.6	885	414
472	Benny Cunningham	FA	RB129		264	352	314.3	37	1,021.00	549
473	Raheem Mostert	SF	RB130	4	274	390	368	23.2	946	473
474	Devine Ozigbo	NO	RB131	9	309	764	427.5	194.3	382	-92
475	Bennie Fowler	NYG	WR165	11	295	331	316	15.3	692	217
476	DeAndre Washington	OAK	RB132	6	337	386	368.4	18.1	676	200
477	Colt McCoy	WAS	QB42	10	261	426	316.3	77.5	760	283
478	Dan Arnold	NO	TE72	9	282	402	350.8	44.7	627	149
479	Nick O'Leary	MIA	TE73	5	280	353	319.7	30.1	915	436
480	Chris Ivory	FA	RB133		303	330	319.7	11.9	488	8
481	Luke Stocker	ATL	TE74	9	300	403	353.5	38.3	816	335
482	Kelvin Benjamin	FA	WR166		261	263	262	1	507	25
483	Braxton Berrios	NE	WR167	10	236	414	326.3	72.7	524	41
484	Ryan Griffin	NYJ	TE75	4	223	633	390.7	175.5	473	-11
485	Ed Dickson	SEA	TE76	11	291	412	358.8	43.8	500	15
486	James Develin	NE	RB134	10	328	387	362	21.4	372	-114
487	Darius Jackson	DAL	RB135	8	310	487	372.3	72	328	-159
488	Zach Pascal	IND	WR168	6	311	365	334.3	22.6	475	-13
489	Greg Dortch	NYJ	WR169	4	275	701	419.7	199	615	126
490	Trevon Wesco	NYJ	TE77	4	323	359	335.3	16.7	726	236
491	Robert Griffin	BAL	QB43	8	337	436	380.8	41.2	399	-92
492	Noah Brown	DAL	WR170	8	314	373	337.3	25.6	542	50
493	Josh Bellamy	NYJ	WR171	4	329	348	338.7	7.8	512	19
494	Andre Roberts	BUF	WR172	6	319	368	339.7	20.7	723	229
495	Maxx Williams	ARI	TE78	12	294	383	340.7	36.5	731	236
496	Will Grier	CAR	QB44	7	240	420	383.8	19.8	410	-86
497	Isaiah McKenzie	BUF	WR173	6	340	391	370.5	18.7	460	-37
498	Dalton Schultz	DAL	TE79	8	292	375	346.3	38.4	523	25
499	Brice Butler	MIA	WR174	5	269	433	346.7	67.2	711	212
500	Kenjon Barner	ATL	RB136	9	331	493	396.6	55.8	716	216
501	Juwann Winfree	DEN	WR175	10	332	400	373.5	27.1	646	145
502	Cody Core	CIN	WR176	9	323	376	350.3	21.7	608	106
503	Dwayne Washington	NO	RB137	9	355	392	375	13.5	970	467
504	Vyncint Smith	HOU	WR177	10	334	382	354.7	20.2	589	85
505	T.J. Logan	ARI	RB138	12	322	446	377.8	52.4	875	370
506	Tyrod Taylor	LAC	QB45	12	319	471	385.3	65.6	600	94
507	Auden Tate	CIN	WR178	9	302	330	316	14	699	192
508	Russell Gage	ATL	WR179	9	312	414	359.7	41.9	1,012.00	504
509	Eric Saubert	NE	TE80	10	298	673	435.3	168.7	916	407
510	Byron Pringle	KC	WR180	12	342	657	435.8	128.4	466	-44
511	Gregory Howell	HOU	RB139	10	257	683	441.7	178.5	997	486
512	Josh Malone	CIN	WR181	9	300	570	406.7	117.3	969	457
513	CJ Ham	MIN	RB140	12	353	382	366	12	647	134
514	Lee Smith	BUF	TE81	6	293	509	388.7	89.9	848	334
515	Dylan Cantrell	FA	WR182		330	330	330	0	436	-79
516	Damion Ratley	CLE	WR183	7	306	358	332	26	494	-22
517	Dwayne Allen	MIA	TE82	5	317	351	334	17	604	87
518	Lance Kendricks	NE	TE83	10	227	767	497	270	528	10
519	Paul Perkins	NYG	RB141	11	287	453	378	68.7	613	94
520	Anthony Firkser	TEN	TE84	11	281	401	341	60	853	333
521	Boston Scott	PHI	RB142	10	323	500	398	74.7	1,015.00	494
522	Detrez Newsome	LAC	RB143	12	308	426	380.7	51.9	883	361
523	Trent Sherfield	ARI	WR184	12	289	407	348	59	578	55
524	Jacquizz Rodgers	NO	RB144	9	325	537	412.7	90.3	599	75
525	Elijhaa Penny	NYG	RB145	11	347	356	351.5	4.5	1,019.00	494
526	Logan Paulsen	ATL	TE85	9	341	516	408	77.1	673	147
527	Marvin Hall	CHI	WR185	6	343	452	387	46.9	903	376
528	Zach Gentry	PIT	TE86	7	280	437	358.5	78.5	567	39
529	John Ursua	SEA	WR186	11	327	394	360.5	33.5	788	259
530	Travis Fulgham	DET	WR187	5	332	393	362.5	30.5	722	192
531	Zach Line	NO	RB146	9	361	369	365	4	1,016.00	485
532	Eric Tomlinson	NYJ	TE87	4	359	373	366	7	804	272
533	Richard Rodgers	PHI	TE88	10	290	583	436.5	146.5	606	73
534	D'Ernest Johnson	CLE	RB147	7	312	427	369.5	57.5
535	Deontay Burnett	NYJ	WR188	4	337	415	376	39	506	-29
536	Brett Hundley	ARI	QB46	12	319	442	380.5	61.5	652	116
537	Emmanuel Butler	NO	WR189	9	315	632	473.5	158.5	485	-52
538	Matt Schaub	ATL	QB47	9	333	596	454.7	108.3	497	-41
539	Kaden Smith	SF	TE89	4	324	643	483.5	159.5	667	128
540	Ishmael Hyman	CLE	WR190	7	324	670	497	173
541	Alize Mack	NO	TE90	9	329	503	416	87	548	7
542	Isaac Nauta	DET	TE91	5	330	555	442.5	112.5	685	143
543	Anthony Sherman	KC	RB148	12	386	396	391	5	450	-93
544	Charles Johnson	PHI	WR191	10	337	541	439	102	893	349
545	Aldrick Robinson	CAR	WR192	7	341	445	393	52	480	-65
546	David Fluellen	TEN	RB149	11	391	399	395	4	965	419
547	Mason Rudolph	PIT	QB48	7	352	634	476.7	117.4	472	-75
548	Logan Thomas	DET	TE92	5	394	404	399	5	888	340
549	Matt Barkley	BUF	QB49	6	351	518	434.5	83.5	455	-94
550	Kelvin McKnight	DEN	WR193	10	352	761	556.5	204.5	882	332
551	Fred Brown	DEN	WR194	10	355	760	557.5	202.5
552	Keelan Doss	OAK	WR195	6	356	615	485.5	129.5
553	Terry Godwin	CAR	WR196	7	356	734	545	189	564	11
554	Darius Jennings	TEN	WR197	11	357	590	473.5	116.5	844	290
555	Daurice Fountain	IND	WR198	6	357	703	530	173	823	268
556	Dillon Mitchell	MIN	WR199	12	358	535	446.5	88.5	766	210
557	Marcus Green	ATL	WR200	9	359	688	523.5	164.5	770	213
558	Chris Warren III	FA	RB150		362	740	551	189	552	-6
559	Olabisi Johnson	MIN	WR201	12	363	510	436.5	73.5	785	226
560	Ryan Finley	CIN	QB50	9	380	431	405.5	25.5	483	-77
561	Chase Daniel	CHI	QB51	6	378	522	444.7	59.3	668	107
562	Dwayne Harris	OAK	WR202	6	369	444	406.5	37.5	693	131
563	Trinity Benson	DEN	WR203	10	370	754	562	192
564	Olamide Zaccheaus	ATL	RB151	9	374	691	532.5	158.5
565	River Cracraft	DEN	WR204	10	378	763	570.5	192.5	746	181
566	JoJo Natson	LAR	WR205	9	379	720	549.5	170.5	782	216
567	Pharoh Cooper	ARI	WR206	12	380	650	515	135	533	-34
568	Levine Toilolo	SF	TE93	4	412	418	415	3	565	-3
569	Anthony Johnson	TB	WR207	7	383	722	552.5	169.5
570	Kenneth Farrow	MIA	RB152	5	386	624	505	119	869	299
571	Drew Stanton	CLE	QB52	7	390	554	472	82	458	-113
572	Samaje Perine	WAS	RB153	10	404	601	502.5	98.5	612	40
573	Durham Smythe	MIA	TE94	5	407	746	576.5	169.5	936	363
574	Kerrith Whyte	CHI	RB154	6	410	613	511.5	101.5
575	Keon Hatcher	OAK	WR208	6	413	671	542	129	810	235
576	Devontae Jackson	DEN	RB155	10	413	757	585	172
577	Tony Brooks-James	ATL	RB156	9	414	684	549	135
578	Nate Sudfeld	PHI	QB53	10	428	584	506	78	576	-2
579	DeShone Kizer	GB	QB54	11	429	635	532	103	447	-132
580	Jacoby Brissett	IND	QB55	6	432	573	502.5	70.5	427	-153
581	C.J. Beathard	SF	QB56	4	436	533	484.5	48.5	484	-97
582	Trevor Siemian	NYJ	QB57	4	437	558	497.5	60.5	572	-10
583	AJ McCarron	HOU	QB58	10	439	574	506.5	67.5	545	-38
584	Chad Henne	KC	QB59	12	442	638	540	98	769	185
585	Jeff Driskel	CIN	QB60	9	443	492	467.5	24.5	738	153
586	Joshua Dobbs	PIT	QB61	7	445	689	567	122	431	-155
587	Mike Glennon	OAK	QB62	6	446	622	534	88	776	189
