Rank	Overall	Team	Pos	Bye	Best	Worst	Avg	Std Dev	ADP	vs. ADP
88	Carson Wentz	PHI	QB9	10	54	157	88.1	20.2	87	-1
89	Larry Fitzgerald	ARI	WR40	12	55	143	92.8	18.1	88	-1
90	Courtland Sutton	DEN	WR41	10	58	135	94.2	15.1	96	6
91	Eric Ebron	IND	TE8	6	63	152	92.7	19.6	76	-15
92	David Njoku	CLE	TE9	7	53	169	94	20.1	89	-3
93	Drew Brees	NO	QB10	9	21	162	95.1	21.5	84	-9
94	Royce Freeman	DEN	RB34	10	59	165	101.3	16.6	102	8
95	Austin Ekeler	LAC	RB35	12	52	177	101.4	22.3	75	-20
96	Jared Goff	LAR	QB11	9	64	147	97.1	17.1	101	5
97	Miles Sanders	PHI	RB36	10	45	280	97.1	38.1	81	-16
98	Vance McDonald	PIT	TE10	7	68	262	98.1	27.2	91	-7
99	Jameis Winston	TB	QB12	7	61	204	102.4	19.5	116	17
100	Geronimo Allison	GB	WR42	11	59	169	108.3	21.1	118	18
101	Jordan Howard	PHI	RB37	10	57	182	105.6	23.4	98	-3
102	Kyler Murray	ARI	QB13	12	56	202	102.5	26	103	1
103	Austin Hooper	ATL	TE11	9	63	153	108.5	18.7	108	5
104	Anthony Miller	CHI	WR43	6	79	176	109.8	19.1	135	31
105	Ben Roethlisberger	PIT	QB14	7	69	154	108.5	17.9	112	7
106	Darrell Henderson	LAR	RB38	9	31	294	119.3	38.8	85	-21
107	Lamar Jackson	BAL	QB15	8	59	188	117.6	22.7	129	22
108	DeSean Jackson	PHI	WR44	10	73	219	118.5	24.1	120	12
109	Dak Prescott	DAL	QB16	8	69	161	114.8	18.9	125	16
110	Keke Coutee	HOU	WR45	10	75	217	111.1	21.9	113	3
111	Delanie Walker	TEN	TE12	11	72	289	124.5	27.7	134	23
112	Philip Rivers	LAC	QB17	12	82	173	120.6	19.3	121	9
113	Golden Tate	NYG	WR46	11	65	216	117.1	28.2	132	19
114	LeSean McCoy	BUF	RB39	6	76	288	120.8	31.6	106	-8
115	Marquez Valdes-Scantling	GB	WR47	11	60	223	121	27.7	109	-6
116	Trey Burton	CHI	TE13	6	72	222	125.4	22.5	130	14
117	Matt Breida	SF	RB40	4	75	234	124.1	27.3	131	14
118	Dion Lewis	TEN	RB41	11	82	266	128.9	30.2	156	38
119	Ronald Jones II	TB	RB42	7	66	245	125.3	27.7	104	-15
120	Emmanuel Sanders	DEN	WR48	10	49	209	130	28.6	107	-13
121	Michael Gallup	DAL	WR49	8	74	226	126.1	24.3	158	37
122	Jordan Reed	WAS	TE14	10	77	242	135.7	24.7	141	19
123	Donte Moncrief	PIT	WR50	7	48	234	131.9	35.1	126	3
124	Mitch Trubisky	CHI	QB18	6	68	250	132.2	26.1	138	14
125	Nyheim Hines	IND	RB43	6	93	278	134.6	29.1	124	-1
126	Devin Funchess	IND	WR51	6	45	210	128	29.1	149	23
127	Duke Johnson	HOU	RB44	10	60	237	138.1	29.6	144	17
128	Jack Doyle	IND	TE15	6	93	255	136.8	26.7	179	51
129	Kirk Cousins	MIN	QB19	12	69	231	128.5	25.2	151	22
130	Kalen Ballage	MIA	RB45	5	68	240	137.1	30.1	119	-11
131	Tyrell Williams	OAK	WR52	6	68	238	138.1	35.9	142	11
132	Peyton Barber	TB	RB46	7	76	286	136.6	35.8	114	-18
133	John Brown	BUF	WR53	6	48	205	136.9	23	167	34
134	N'Keal Harry	NE	WR54	10	45	265	137.1	36.3	110	-24
135	Adrian Peterson	WAS	RB47	10	96	224	136.3	24.6	137	2
136	Kyle Rudolph	MIN	TE16	12	93	216	144.4	20.8	139	3
137	Josh Allen	BUF	QB20	6	76	254	141	30.3	176	39
138	Tom Brady	NE	QB21	10	79	350	145.4	34.7	123	-15
139	DaeSean Hamilton	DEN	WR55	10	80	207	141.6	25.8	212	73
140	Jimmy Graham	GB	TE17	11	63	267	151.5	36.6	155	15
141	James Washington	PIT	WR56	7	65	267	147.9	40.5	117	-24
142	Mark Andrews	BAL	TE18	8	69	242	140	32.1	152	10
143	Jimmy Garoppolo	SF	QB22	4	94	360	148.6	35.6	160	17
144	Kenny Stills	MIA	WR57	5	62	203	140.7	26.3	200	56
145	Jamison Crowder	NYJ	WR58	4	97	229	147	27.7	172	27
146	Jaylen Samuels	PIT	RB48	7	52	310	158.9	43.1	115	-31
147	Greg Olsen	CAR	TE19	7	80	324	149.8	34.5	147	0
148	Ito Smith	ATL	RB49	9	81	291	151.8	32.2	148	0
149	Carlos Hyde	KC	RB50	12	80	309	152	35.7	128	-21
150	D.K. Metcalf	SEA	WR59	11	97	295	156.9	41.6	111	-39
151	Damien Harris	NE	RB51	10	63	309	163.1	48.2	127	-24
152	Chris Herndon IV	NYJ	TE20	4	92	267	162	32.9	178	26
153	Albert Wilson	MIA	WR60	5	79	265	166.8	33.5	221	68
154	Chris Thompson	WAS	RB52	10	114	292	171.3	27.7	197	43
155	Devin Singletary	BUF	RB53	6	57	317	169.9	46.3	140	-15
156	Robert Foster	BUF	WR61	6	72	265	166.2	43.6	240	84
157	Mohamed Sanu	ATL	WR62	9	87	266	166.3	34	184	27
158	Marquise Goodwin	SF	WR63	4	96	327	166.3	40.8	198	40
159	Kareem Hunt	CLE	RB54	7	80	294	174.2	40.2	99	-60
160	Dallas Goedert	PHI	TE21	10	117	277	171.8	33	188	28
161	Tre'Quan Smith	NO	WR64	9	75	231	173.3	26.5	182	21
162	Jerick McKinnon	SF	RB55	4	84	358	157.9	56.6	146	-16
163	T.J. Hockenson	DET	TE22	5	102	291	171	39.9	154	-9
164	Quincy Enunwa	NYJ	WR65	4	111	267	178.6	32.5	284	120
165	Devante Parker	MIA	WR66	5	85	276	175.1	34.7	204	39
166	Matthew Stafford	DET	QB23	5	105	292	167.5	27.1	190	24
167	Parris Campbell	IND	WR67	6	98	292	172.6	37.1	153	-14
168	Sam Darnold	NYJ	QB24	4	99	265	165.6	27.8	194	26
169	Adam Humphries	TEN	WR68	11	92	247	174.5	36	181	12
170	Derek Carr	OAK	QB25	6	110	297	175.1	32	185	15
171	Chicago (CHI)		DST1	6	99	227	147.4	21.3	86	-85
172	C.J. Anderson	DET	RB56	5	123	304	175.8	29	187	15
173	Giovani Bernard	CIN	RB57	9	138	288	187.5	28.8	218	45
174	Justin Jackson	LAC	RB58	12	102	294	190.3	48	165	-9
175	Noah Fant	DEN	TE23	10	71	270	180.3	36.5	168	-7
176	Deebo Samuel	SF	WR69	4	102	312	181.3	38.5	205	29
177	Jamaal Williams	GB	RB59	11	123	260	171.4	26.8	216	39
178	Justice Hill	BAL	RB60	8	86	315	187.2	52.6	169	-9
179	Andy Dalton	CIN	QB26	9	98	298	183.2	30.1	233	54
180	Jacksonville (JAC)		DST2	10	130	268	157.7	23.3	136	-44
181	Baltimore (BAL)		DST3	8	130	277	166.5	26	157	-24
182	David Moore	SEA	WR70	11	111	263	191.3	33.2	281	99
183	Greg Zuerlein	LAR	K1	9	122	274	175.9	20.2	122	-61
184	Zay Jones	BUF	WR71	6	85	286	191.7	39.9	237	53
185	Los Angeles (LAR)		DST4	9	111	230	163	18.8	100	-85
186	Mike Gesicki	MIA	TE24	5	120	286	192.4	37.1	236	50
187	Mike Davis	CHI	RB61	6	120	299	182.7	33	232	45
188	Minnesota (MIN)		DST5	12	126	266	165.9	20.3	145	-43
189	Los Angeles (LAC)		DST6	12	137	270	165.8	17.9	143	-46
190	Taylor Gabriel	CHI	WR72	6	107	285	204.3	28.8	270	80
191	Nick Foles	JAC	QB27	10	108	307	194.3	35.8	203	12
192	Marcus Mariota	TEN	QB28	11	90	296	198.1	31.6	195	3
193	Houston (HOU)		DST7	10	151	267	174.9	22.7	166	-27
194	Randall Cobb	DAL	WR73	8	111	303	206.5	30.2	189	-5
195	Jalen Richard	OAK	RB62	6	129	307	205	37.3	201	6
196	Justin Tucker	BAL	K2	8	129	273	182.6	18.7	133	-63
197	Harrison Butker	KC	K3	12	152	218	183.7	12.3	150	-47
198	Chase Edmonds	ARI	RB63	12	120	272	211	38.7	258	60
199	Cleveland (CLE)		DST8	7	150	242	184.7	21.5	162	-37
200	Marqise Lee	JAC	WR74	10	102	304	201.9	39	253	53
201	Tyler Eifert	CIN	TE25	9	127	296	205.9	39.3	202	1
202	Marquise Brown	BAL	WR75	8	90	303	194.5	40.4	173	-29
203	Stephen Gostkowski	NE	K4	10	144	274	189.1	16	163	-40
204	Trey Quinn	WAS	WR76	10	100	295	199.7	44	282	78
205	Mecole Hardman	KC	WR77	12	109	361	200.8	47.5	164	-41
206	A.J. Brown	TEN	WR78	11	75	311	203.2	31.7	217	11
207	Ted Ginn	NO	WR79	9	109	316	217.8	38.5	227	20
208	Andy Isabella	ARI	WR80	12	116	314	212.6	40.7	241	33
209	New Orleans (NO)		DST9	9	153	271	193.3	22.3	183	-26
210	Alexander Mattison	MIN	RB64	12	132	330	198.8	48.7	170	-40
211	Wil Lutz	NO	K5	9	162	275	199.7	17.2	161	-50
212	Rex Burkhead	NE	RB65	10	112	323	204.8	42.4	264	52
213	Gerald Everett	LAR	TE26	9	141	328	210.2	39.6	275	62
214	John Ross	CIN	WR81	9	145	345	216.2	32.5	279	65
215	Antonio Callaway	CLE	WR82	7	128	342	216.7	37	243	28
216	Denver (DEN)		DST10	10	152	239	196.9	15.1	159	-57
217	Nelson Agholor	PHI	WR83	10	139	292	215.3	28.3	230	13
218	New England (NE)		DST11	10	140	272	207.6	15.6	180	-38
219	Paul Richardson	WAS	WR84	10	146	342	224.8	38.6	298	79
220	Gus Edwards	BAL	RB66	8	116	361	212.1	43.5	259	39
221	Malcolm Brown	LAR	RB67	9	126	403	224	48.1	254	33
222	Buffalo (BUF)		DST12	6	153	266	204.8	18	219	-3
223	Ka'imi Fairbairn	HOU	K6	10	138	278	205.3	22.6	175	-48
224	Joe Flacco	DEN	QB29	10	162	329	236.7	39.3	238	14
225	Dallas (DAL)		DST13	8	165	250	210.3	14.4	177	-48
226	Mason Crosby	GB	K7	11	168	277	214.4	17.3	210	-16
227	Josh Doctson	WAS	WR85	10	129	332	227.7	36.3	333	106
228	D.J. Chark	JAC	WR86	10	88	348	234	36.2	319	91
229	Frank Gore	BUF	RB68	6	130	306	227.4	38.8	269	40
230	Jake Elliott	PHI	K8	10	170	284	217.9	17.2	209	-21
231	Elijah McGuire	NYJ	RB69	4	114	346	225.7	48	302	71
232	Seattle (SEA)		DST14	11	184	276	222.5	16.8	222	-10
233	Philadelphia (PHI)		DST15	10	166	321	224.6	21.6	174	-59
234	Cole Beasley	BUF	WR87	6	128	332	238.1	41.1	246	12
