Rank	Overall	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
415	Indianapolis (IND)		DST23	6		263	356	309.5	46.5
416	Steven Hauschka	BUF	K16	6	34	242	382	312	70
417	Kevin White	FA	WR154		27	282	345	313.5	31.5
418	Trent Sherfield	ARI	WR155	12	23	308	322	315	7
419	Cairo Santos	TB	K17	7	27	260	378	319	59
420	Javorius Allen	FA	RB118		28	299	339	319	20
421	David Sills	BUF	WR156	6		304	334	319	15
422	Pittsburgh (PIT)		DST24	7		280	359	319.5	39.5
423	Robert Griffin	BAL	QB53	8	29	295	345	320	25
424	Detroit (DET)		DST25	5		283	358	320.5	37.5
425	Dan Bailey	MIN	K18	12	31	270	375	322.5	52.5
426	Ryan Succop	TEN	K19	11	32	271	380	325.5	54.5
427	San Francisco (SF)		DST26	4		292	364	328	36
428	Kansas City (KC)		DST27	12		296	362	329	33
429	Oakland (OAK)		DST28	6		300	367	333.5	33.5
430	New York (NYG)		DST29	11		311	361	336	25
431	Tampa Bay (TB)		DST30	7		309	366	337.5	28.5
432	Cincinnati (CIN)		DST31	9		315	365	340	25
433	Jason Witten	DAL	TE56	8	37	307	385	346	39
434	Dan Arnold	NO	TE57	9	24	322	396	359	37
435	Daurice Fountain	IND	WR157	6	23	338	375	356.5	18.5
