team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
ARI	1	3	0	0	0	1	0	0	0	0	0	0	24
ATL	1	2	1	0	0	1	0	0	0	0	0	0	18
BAL	1	6	2	0	0	0	0	0	0	0	0	0	3
BUF	1	2	0	0	0	1	0	0	0	0	0	0	47
CAR	1	6	0	0	0	1	0	0	0	0	0	0	8
CHI	1	4	1	0	1	1	0	0	0	0	0	0	24
CIN	1	2	1	0	0	1	1	0	0	0	0	0	23
CLE	1	4	3	0	0	3	0	0	0	0	0	0	21
DAL	1	3	0	0	0	1	0	0	0	0	0	0	16
DEN	1	6	2	0	0	1	0	0	0	0	0	0	24
DET	1	2	1	0	1	1	0	0	0	0	0	0	48
GB	1	3	0	0	0	1	0	0	0	0	0	0	23
HOU	1	2	1	0	0	2	0	0	0	0	0	0	27
IND	1	2	1	0	0	1	0	0	0	0	0	0	34
JAX	1	2	1	0	1	1	0	0	0	0	0	0	15
KC	1	1	1	0	0	1	0	1	0	0	0	0	28
LA	1	1	3	0	1	0	0	0	0	0	0	0	13
LAC	1	1	0	0	0	0	0	0	0	0	0	0	38
LV	1	1	0	0	0	0	0	0	0	0	0	0	33
MIA	1	0	3	0	0	0	0	1	0	0	0	0	20
MIN	1	3	3	0	1	1	0	0	0	0	0	0	16
NE	1	3	1	0	0	1	0	0	0	0	0	0	20
NO	1	0	0	0	0	0	0	0	0	0	0	0	48
NYG	1	1	1	0	0	0	0	0	0	0	0	0	20
NYJ	1	0	5	0	1	0	0	1	0	0	0	0	17
PHI	1	4	1	0	0	0	0	0	0	0	0	0	12
PIT	1	7	1	0	0	0	0	0	0	0	1	0	21
SEA	1	1	3	0	0	0	0	0	0	0	0	0	27
SF	1	3	0	0	0	1	0	0	0	0	0	0	24
TB	1	1	0	0	0	2	1	0	0	0	0	0	40
TEN	1	1	2	0	0	0	0	1	0	0	0	0	27
WAS	1	2	1	0	0	1	0	0	0	0	0	0	6
ARI	2	2	1	0	0	0	0	0	0	0	0	0	34
ATL	2	2	1	0	0	0	0	0	0	0	0	0	24
BAL	2	0	0	0	0	0	0	0	0	0	0	0	34
BUF	2	2	0	0	0	0	0	0	0	0	0	0	31
CAR	2	0	1	0	0	0	0	0	0	0	0	0	31
CHI	2	6	1	0	1	1	0	0	0	0	0	0	17
CIN	2	4	2	0	0	1	0	0	0	0	0	0	23
CLE	2	3	0	0	0	2	0	0	0	0	0	0	21
DAL	2	6	0	0	0	1	0	0	0	0	0	0	13
DEN	2	1	0	0	0	0	0	0	0	1	0	0	19
DET	2	6	0	0	0	0	0	0	0	0	0	0	30
GB	2	2	1	0	0	0	0	1	1	0	0	0	29
HOU	2	1	0	0	0	0	0	0	0	0	0	0	20
IND	2	3	0	0	0	1	0	0	0	0	0	0	9
JAX	2	2	0	0	0	1	0	0	0	0	0	0	20
KC	2	1	0	0	0	0	0	0	0	0	0	0	37
LA	2	1	1	0	0	0	0	0	0	0	0	0	0
LAC	2	5	2	0	0	0	0	0	0	0	0	0	20
LV	2	1	1	0	0	0	0	0	0	0	0	0	20
MIA	2	3	2	0	0	1	0	0	0	0	0	0	12
MIN	2	4	0	0	0	0	0	0	0	0	0	0	29
NE	2	0	1	0	0	1	0	0	0	0	0	0	31
NO	2	3	1	0	0	0	0	0	0	0	0	0	18
NYG	2	0	0	0	0	0	0	0	0	0	0	0	20
NYJ	2	4	0	0	0	2	0	0	0	0	0	0	20
PHI	2	2	1	0	0	1	0	0	0	0	0	0	27
PIT	2	1	0	1	0	1	0	0	0	0	0	0	42
SEA	2	2	2	0	0	0	0	0	0	0	0	0	24
SF	2	2	0	0	0	1	0	0	0	0	0	0	27
TB	2	3	0	0	0	2	0	0	0	0	0	0	21
TEN	2	4	1	0	0	0	0	0	0	0	0	0	17
WAS	2	1	2	0	0	0	0	0	0	0	0	0	21
ARI	3	3	1	0	0	1	0	0	0	0	0	0	16
ATL	3	1	0	0	0	0	0	0	0	0	0	0	43
BAL	3	3	1	0	0	0	0	0	0	0	0	0	14
BUF	3	4	1	0	0	2	0	0	0	0	0	0	6
CAR	3	2	4	0	0	0	0	0	0	0	0	0	21
CHI	3	4	3	0	0	1	0	0	0	0	0	0	14
CIN	3	1	0	0	0	0	0	0	0	0	0	0	31
CLE	3	2	2	0	0	1	0	0	0	0	0	0	17
DAL	3	2	0	0	0	0	0	0	0	0	0	0	24
DEN	3	2	0	0	0	0	0	0	1	0	1	0	27
DET	3	2	1	0	0	0	0	0	0	0	0	0	10
GB	3	0	1	0	0	0	0	0	0	0	0	0	31
HOU	3	4	0	0	0	0	0	0	0	0	0	0	27
IND	3	5	1	0	0	1	0	0	0	0	0	0	20
JAX	3	3	0	0	0	0	0	0	0	0	0	0	9
KC	3	4	0	0	0	0	0	0	0	0	0	0	27
LA	3	2	0	0	0	2	0	1	1	0	0	0	23
LAC	3	1	1	0	0	1	0	0	0	0	0	0	35
LV	3	1	0	0	0	0	0	0	0	0	0	0	28
MIA	3	3	2	0	0	0	0	0	0	0	0	0	20
MIN	3	3	0	0	0	0	0	0	0	0	0	0	27
NE	3	1	1	0	0	0	0	0	0	0	0	0	26
NO	3	3	0	0	0	0	0	0	1	0	0	0	37
NYG	3	3	1	0	0	1	0	0	0	0	0	0	22
NYJ	3	4	0	0	0	0	0	0	0	0	0	0	21
PHI	3	2	0	0	0	0	0	0	0	0	0	0	16
PIT	3	3	3	0	1	1	0	0	0	0	0	0	27
SEA	3	5	2	0	0	1	0	0	0	0	0	0	13
SF	3	2	0	0	0	0	0	0	0	0	0	0	38
TB	3	3	1	0	0	0	0	0	0	0	0	0	30
TEN	3	3	0	0	0	1	0	0	0	0	0	0	6
WAS	3	4	0	0	0	1	0	0	0	0	0	0	17
ARI	4	2	0	0	0	0	0	0	0	0	0	0	20
ATL	4	3	1	0	0	0	0	0	1	0	0	0	37
BAL	4	1	1	0	0	1	0	0	0	0	0	0	14
BUF	4	2	1	0	0	1	0	0	0	0	0	0	22
CHI	4	4	3	0	0	0	0	0	0	0	0	0	10
CIN	4	3	0	0	0	0	0	0	0	0	0	0	36
CLE	4	3	2	0	0	0	0	0	0	0	0	0	45
DAL	4	3	0	0	0	0	0	0	0	0	0	0	24
DEN	4	1	0	0	0	0	0	0	0	0	0	0	27
DET	4	3	0	0	0	0	0	0	0	0	0	0	26
GB	4	7	2	0	0	1	0	0	0	0	0	0	0
HOU	4	4	0	0	0	2	1	0	0	0	0	0	34
IND	4	7	1	0	0	0	0	0	0	0	0	0	37
JAX	4	3	0	1	0	0	0	0	0	0	0	0	12
KC	4	4	1	0	0	0	0	0	0	0	0	0	23
LA	4	4	0	0	0	1	0	0	0	0	0	0	31
LAC	4	1	2	0	0	0	0	0	0	0	0	0	27
LV	4	2	2	0	1	2	0	0	0	0	0	0	42
MIA	4	0	2	0	0	0	0	0	0	0	0	0	38
MIN	4	1	0	0	0	0	0	0	0	0	0	0	38
NE	4	2	1	0	0	1	0	0	0	0	0	0	7
NO	4	3	0	0	0	2	0	0	0	0	0	0	18
