Rank	Player	Team	Pos	Bye	Best	Worst	Avg	Std Dev
100	Tyrell Williams	LAC	WR49	9	49	145	97.8	23.6
101	Brandon Marshall	NYG	WR50	8	41	150	103.9	25.7
102	David Njoku	CLE	TE10	9	67	173	98	25.4
103	Cameron Meredith	CHI	WR51	9	52	151	99.3	27.2
104	Laquon Treadwell	MIN	WR52	9	40	262	109	46.5
105	Zay Jones	BUF	WR53	6	60	168	101.8	24.7
106	Samaje Perine	WAS	RB33	5	52	199	102.4	32.2
107	Zach Ertz	PHI	TE11	10	85	151	108.2	14.5
108	Drew Brees	NO	QB11	5	23	135	102.8	24.6
109	Kenneth Dixon	BAL	RB34	10	69	171	108.9	28.9
110	Larry Fitzgerald	ARI	WR54	8	65	160	111.6	22
111	Kirk Cousins	WAS	QB12	5	80	139	107.8	13.3
112	Evan Engram	NYG	TE12	8	72	204	108.3	31.9
113	Theo Riddick	DET	RB35	7	73	153	109.9	17.3
114	Rishard Matthews	TEN	WR55	8	77	138	110.3	15.2
115	Matthew Stafford	DET	QB13	7	69	157	111.8	20
116	Marvin Jones	DET	WR56	7	50	169	117.9	27.2
117	Mike Gillislee	NE	RB36	9	78	168	113.3	25.5
118	Will Fuller	HOU	WR57	7	74	192	119.8	31.5
119	Thomas Rawls	SEA	RB37	6	45	188	119.9	29.8
120	Bilal Powell	NYJ	RB38	11	87	139	116.4	13.5
121	Adam Thielen	MIN	WR58	9	82	152	118.9	19.7
122	Carson Wentz	PHI	QB14	10	92	172	120.9	19.3
123	Adrian Peterson	NO	RB39	5	36	187	127.8	36.8
124	Curtis Samuel	CAR	WR59	11	81	217	126.2	31.1
125	Pierre Garcon	SF	WR60	11	91	170	126	22.2
126	Kenny Britt	CLE	WR61	9	85	240	129.1	35.8
127	Kyle Rudolph	MIN	TE13	9	95	155	127.1	16.9
128	Marshawn Lynch	OAK	RB40	10	56	202	123.9	35.6
129	Latavius Murray	MIN	RB41	9	73	203	133.9	26.2
130	JuJu Smith-Schuster	PIT	WR62	9	78	236	132.9	38.1
131	Martellus Bennett	GB	TE14	8	97	162	131	15
