team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
ARI	1	6	1	0	0	2	1	0	0	0	0	0	20
ATL	1	2	2	0	0	1	0	0	0	0	0	0	10
BAL	1	5	0	0	0	1	0	0	0	0	0	0	9
BUF	1	3	1	0	0	0	0	0	0	0	0	0	22
CAR	1	4	0	0	0	0	0	0	0	0	0	0	24
CHI	1	1	0	0	0	0	0	0	0	0	0	0	38
CIN	1	3	1	0	0	1	0	0	0	0	0	0	24
CLE	1	2	0	0	0	0	0	0	0	0	0	0	3
DAL	1	7	2	0	1	1	0	1	0	0	1	0	0
DEN	1	0	1	0	0	0	0	0	0	0	0	0	17
DET	1	0	1	0	1	0	0	0	0	0	0	0	20
GB	1	4	1	0	1	1	0	0	0	0	0	0	20
HOU	1	3	1	0	0	1	0	0	0	0	0	0	25
IND	1	2	1	0	0	1	1	0	0	0	0	0	31
JAX	1	4	1	0	0	2	0	0	0	0	0	0	21
KC	1	1	0	0	0	1	0	0	0	0	0	0	21
LA	1	2	0	0	0	0	0	0	0	0	0	0	13
LAC	1	0	1	0	0	1	0	0	0	0	0	0	36
LV	1	2	0	0	0	0	0	0	0	0	0	0	16
MIA	1	3	0	0	0	0	0	0	0	0	0	0	34
MIN	1	1	0	0	0	0	0	0	0	0	0	0	20
NE	1	3	0	0	0	1	0	0	0	0	0	0	25
NO	1	3	3	0	0	0	0	0	0	0	0	0	15
NYG	1	0	0	0	0	0	0	0	0	0	0	0	40
NYJ	1	5	3	0	0	1	0	1	0	0	0	0	16
PHI	1	2	1	0	1	1	0	0	0	0	0	0	20
PIT	1	3	0	0	0	1	0	0	0	0	0	0	30
SEA	1	0	0	0	0	0	0	0	0	0	1	0	30
SF	1	5	2	0	0	0	0	0	0	0	0	0	7
TB	1	2	1	0	0	2	0	0	0	0	0	0	17
TEN	1	4	1	0	0	1	0	0	0	0	0	0	16
WAS	1	3	0	0	0	2	0	0	0	0	0	0	16
ARI	2	3	1	0	0	0	0	0	0	0	0	0	31
ATL	2	1	0	0	0	0	0	0	0	0	0	0	24
BAL	2	1	1	0	0	0	0	0	0	0	0	0	24
BUF	2	0	2	0	0	1	0	0	0	0	0	0	10
CAR	2	4	1	0	0	0	0	0	0	0	0	0	20
CHI	2	0	0	0	0	0	0	0	0	0	1	0	27
CIN	2	0	0	0	0	0	0	1	0	0	0	0	27
CLE	2	2	1	0	0	1	0	0	0	0	0	0	26
DAL	2	3	3	0	0	1	0	0	0	0	0	0	10
DEN	2	4	0	0	0	0	0	0	0	0	0	0	35
DET	2	1	0	0	0	0	0	0	0	0	0	0	37
GB	2	1	1	0	0	0	0	0	0	0	0	0	25
HOU	2	0	0	0	0	0	0	0	0	0	0	0	31
IND	2	6	0	0	0	1	0	0	0	0	0	0	20
JAX	2	1	1	0	0	2	0	0	0	0	0	0	17
KC	2	4	0	0	0	1	0	0	0	0	0	0	9
LA	2	1	0	0	0	0	0	0	0	0	0	0	30
LAC	2	5	0	0	0	0	0	0	0	0	0	0	27
LV	2	2	0	0	0	0	0	0	0	0	0	0	38
MIA	2	4	1	0	0	1	0	0	0	0	0	0	17
MIN	2	4	1	0	0	0	0	0	0	0	0	0	34
NE	2	1	1	0	0	0	0	0	0	0	1	0	24
NO	2	4	0	0	0	1	0	0	0	0	0	0	17
NYG	2	0	0	0	0	0	0	0	0	0	0	0	28
NYJ	2	1	0	0	0	0	0	0	0	0	0	0	30
PHI	2	2	0	0	0	3	0	0	0	0	0	0	28
PIT	2	6	1	0	1	3	1	0	0	0	0	0	22
SEA	2	2	1	0	1	2	0	0	0	0	0	0	31
