Rank	Tier	WSID	Overall	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
296	undefined		New England (NE)		DST10	6		166	305	264.9	44.5
297	undefined		Los Angeles (LAC)		DST11	10		164	315	266.8	50.1
298	undefined		Dare Ogunbowale	TB	RB95	13	26	195	356	282.8	45
299	undefined		Albert Wilson	MIA 	WR109	11	28	216	364	297.2	43
300	undefined		Jacoby Brissett	IND	QB39	7	27	196	449	275.9	74.7
301	undefined		Harrison Bryant	CLE	TE42	9	22	213	348	274.3	40.8
302	undefined		KeeSean Johnson	ARI	WR110	8	23	197	377	289.9	52.9
303	undefined		LeSean McCoy	TB	RB96	13	32	188	322	257.4	41.9
304	undefined		Josh Gordon	FA	WR111		29	200	341	258.1	43
305	undefined		Matt Prater	DET	K6	5	36	204	325	280.4	39.8
306	undefined		DaeSean Hamilton	DEN	WR112	8	25	193	429	284.6	75.7
307	undefined		Mason Crosby	GB	K7	5	36	214	331	282	40.8
308	undefined		Jake Elliott	PHI	K8	9	25	216	323	284.3	38.8
309	undefined		Kendrick Bourne	SF	WR113	11	25	219	333	267.3	33.5
310	undefined		Myles Gaskin	MIA	RB97	11	23	238	355	301	36.9
311	undefined		Minnesota (MIN)		DST12	7		152	297	219	57.4
312	undefined		Kansas City (KC)		DST13	10		210	313	288.8	24.3
313	undefined		Phillip Dorsett	SEA	WR114	6	27	229	360	288.8	44.2
314	undefined		Ty Johnson	DET	RB98	5	22	230	442	316.9	54.1
315	undefined		Dalton Keene	NE	TE43	6	21	183	344	278.4	46.3
316	undefined		Foster Moreau	LV	TE44	6	23	194	335	279.3	35.5
317	undefined		Robbie Gould	SF	K9	11	38	212	324	284.1	38.3
318	undefined		Jordan Wilkins	IND	RB99	7	26	224	401	287.7	58.6
319	undefined		Joe Reed	LAC	WR115	10	22	193	317	245.4	40.7
320	undefined		Ryan Fitzpatrick	MIA	QB40	11	37	172	368	272.3	57.4
321	undefined		Ka'imi Fairbairn	HOU	K10	8	26	213	326	291.6	29
322	undefined		Kahale Warring	HOU	TE45	8	23	161	376	275.5	59.1
323	undefined		Devine Ozigbo	JAC	RB100	7	23	186	366	279	54.3
324	undefined		Denver (DEN)		DST14	8		166	298	217.3	49
325	undefined		Geronimo Allison	DET 	WR116	5	26	202	328	255	39.1
326	undefined		Brycen Hopkins	LAR	TE46	9	23	228	301	256.2	32.7
327	undefined		T.J. Yeldon	BUF	RB101	11	26	247	406	313.3	54.8
328	undefined		Andy Dalton	DAL	QB41	10	32	204	412	315.1	48.7
329	undefined		New York (NYJ)		DST15	11		209	312	302	8.8
330	undefined		Dexter Williams	GB	RB102	5	23	236	445	319.9	63.8
331	undefined		Adam Humphries	TEN	WR117	7	27	226	359	305.1	43.9
332	undefined		Marcus Mariota	LV	QB42	6	26	220	350	289.8	30.5
333	undefined		Rodney Anderson	FA	RB103		23	221	358	291.8	35
334	undefined		Danny Amendola	DET	WR118	5	34	235	304	269.6	26.2
335	undefined		Quintez Cephus	DET	WR119	5	22	206	452	301.2	70.5
336	undefined		Houston (HOU)		DST16	8		201	312	238.5	43.7
337	undefined		Kalen Ballage	MIA	RB104	11	24	217	430	299.5	72.2
338	undefined		Rashard Higgins	CLE	WR120	9	25	231	307	274.2	29.4
339	undefined		Jeff Wilson	SF	RB105	11	24	220	321	276.2	33.4
340	undefined		Michael Badgley	LAC	K11	10	25	218	329	277.2	33.2
341	undefined		Donovan Peoples-Jones	CLE	WR121	9	21	200	409	299.5	60.3
342	undefined		Ryan Griffin	NYJ	TE47	11	30	179	371	314.1	43.2
343	undefined		Marquise Goodwin	PHI 	WR122	9	29	226	361	278.4	50.6
344	undefined		Scott Miller	TB	WR123	13	23	190	441	287.4	86.6
345	undefined		Justin Watson	TB	WR124	13	25	233	364	302.7	45.4
346	undefined		Olabisi Johnson	MIN	WR125	7	23	186	423	289.8	67.7
347	undefined		Taysom Hill	NO	QB43	6	30	214	307	257.5	37
348	undefined		Ty Montgomery	NO	RB106	6	27	216	289	260.3	27.7
349	undefined		Willie Snead	BAL	WR126	8	27	252	321	289.2	24.9
350	undefined		Jason Huntley	DET	RB107	5	22	217	419	293.6	67
351	undefined		Deon Cain	PIT	WR127	8	24	238	387	293.2	52.9
352	undefined		David Moore	SEA	WR128	6	25	259	440	318.3	59.4
353	undefined		Dan Arnold	ARI	TE48	8	25	158	297	222.7	57.2
354	undefined		Kaden Smith	NYG	TE49	11	23	229	342	296.2	45.5
