team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
ARI	1	1	1	0	1	0	0	0	0	0	0	0	35
ATL	1	4	0	0	0	0	0	0	0	0	0	0	17
BAL	1	5	4	0	0	1	0	0	0	0	0	0	0
BUF	1	1	2	0	0	0	0	0	0	0	0	0	12
CAR	1	4	1	0	0	1	0	0	0	0	0	0	3
CHI	1	2	0	0	0	0	0	0	0	0	0	0	23
CIN	1	1	1	0	0	0	0	0	0	0	0	0	20
CLE	1	1	1	0	0	0	0	0	0	0	0	0	21
DAL	1	3	1	0	0	0	0	0	0	0	0	0	3
DEN	1	1	1	0	0	0	0	0	0	0	1	0	21
DET	1	1	3	0	1	1	0	0	0	0	0	0	23
GB	1	3	0	0	0	1	0	0	0	0	0	0	9
HOU	1	0	0	0	0	0	0	0	0	0	0	0	29
IND	1	1	0	0	0	1	0	0	0	0	0	0	46
JAX	1	10	1	0	0	3	1	0	0	0	0	0	7
KC	1	3	0	0	0	0	0	0	0	0	0	0	27
LA	1	4	2	1	2	1	0	0	0	0	0	0	9
LAC	1	4	1	0	0	1	0	0	0	0	0	0	24
LV	1	1	0	0	0	0	0	0	0	0	0	0	16
MIN	1	1	0	0	0	0	0	0	0	0	0	0	19
NE	1	3	0	0	0	1	0	0	0	0	0	0	42
NO	1	1	0	0	0	0	0	0	0	0	0	0	29
NYG	1	1	0	0	0	0	0	0	0	0	0	0	19
NYJ	1	2	1	0	0	0	0	0	0	0	0	0	21
PHI	1	4	1	0	0	3	1	0	0	0	0	0	17
PIT	1	7	1	0	0	0	0	1	1	0	0	0	18
SEA	1	4	1	0	0	0	0	0	0	0	0	0	17
SF	1	0	1	0	0	1	0	0	0	0	0	0	23
TEN	1	2	0	0	0	0	0	0	0	0	0	0	26
WAS	1	2	1	0	1	1	0	0	0	0	0	0	30
ARI	2	4	1	0	0	0	0	0	0	0	0	0	13
ATL	2	3	1	0	0	1	1	0	0	0	0	0	23
BAL	2	3	4	0	0	1	0	0	0	0	0	0	10
BUF	2	6	0	0	0	0	0	0	0	0	0	0	9
CAR	2	3	0	0	0	0	0	0	0	0	0	0	3
CHI	2	2	0	0	0	1	0	0	0	0	0	0	29
CIN	2	3	0	0	0	0	0	0	0	0	0	0	13
CLE	2	2	1	0	0	1	0	0	0	0	0	0	24
DAL	2	2	1	0	0	1	0	0	0	0	0	0	42
DEN	2	2	2	0	1	0	0	0	0	0	0	0	17
DET	2	5	1	0	0	0	0	1	0	0	0	0	10
GB	2	3	0	0	0	0	0	0	0	0	0	0	34
HOU	2	3	0	0	0	1	0	0	0	0	0	0	9
IND	2	4	1	0	0	0	0	0	0	0	0	0	16
JAX	2	1	1	0	0	0	0	0	0	0	0	0	37
KC	2	6	1	0	0	1	0	0	0	0	0	0	20
LA	2	2	0	0	0	0	0	0	0	0	0	0	27
LAC	2	2	0	0	0	0	0	0	0	0	0	0	19
LV	2	4	0	0	0	2	0	0	0	0	0	0	20
MIA	2	1	0	0	0	0	0	0	0	0	0	0	17
MIN	2	2	0	0	0	0	0	0	0	0	0	0	26
NE	2	1	0	0	0	0	0	0	0	0	0	0	20
NO	2	2	0	0	0	0	0	0	0	0	0	0	36
NYG	2	3	0	0	0	1	0	0	0	0	0	0	24
NYJ	2	0	0	0	0	0	0	0	0	0	0	0	45
PHI	2	4	0	0	0	0	0	0	0	0	0	0	27
PIT	2	2	0	0	0	1	0	0	0	0	0	0	9
SEA	2	2	1	0	0	0	0	0	0	0	0	0	9
SF	2	3	0	0	0	0	0	0	0	0	0	0	12
TB	2	1	2	0	1	2	0	0	0	0	0	0	7
TEN	2	2	2	0	0	1	0	0	0	0	0	0	16
WAS	2	2	1	0	0	1	0	0	0	0	0	0	20
ARI	3	1	0	0	0	0	0	0	0	0	0	0	28
ATL	3	2	0	0	0	0	0	0	0	0	0	0	26
BAL	3	0	0	0	0	0	0	0	0	0	0	0	44
BUF	3	3	2	0	0	0	0	0	0	0	0	0	16
CAR	3	1	0	0	0	0	0	0	0	0	0	0	34
CHI	3	3	0	0	0	2	0	0	0	0	1	0	17
CIN	3	6	1	0	1	0	0	0	0	0	0	0	27
CLE	3	3	0	0	0	1	0	0	0	0	0	0	31
DAL	3	6	0	0	0	0	0	0	0	0	0	0	17
DEN	3	4	0	0	0	0	0	0	0	0	0	0	26
DET	3	2	3	0	1	0	0	0	0	0	0	0	30
GB	3	3	0	0	0	1	0	0	0	0	0	0	24
HOU	3	5	0	0	0	1	1	0	0	0	0	0	36
IND	3	1	3	0	0	0	0	0	0	0	0	0	28
JAX	3	2	2	0	0	1	0	0	0	0	0	0	7
KC	3	2	3	0	0	0	0	0	0	0	0	0	10
LA	3	4	1	0	0	1	0	0	0	0	0	0	39
LAC	3	5	0	0	0	0	0	0	0	0	0	0	24
LV	3	1	0	0	0	2	0	0	0	0	0	0	27
MIA	3	2	0	0	0	1	0	0	0	0	1	0	20
MIN	3	2	3	0	0	0	0	0	0	0	0	0	17
NE	3	2	2	0	0	0	0	0	0	0	0	0	33
NO	3	4	3	0	0	0	0	0	0	0	0	0	13
NYG	3	3	0	0	0	1	0	0	0	0	0	0	27
NYJ	3	3	2	0	0	0	0	0	0	0	0	0	6
PHI	3	0	2	0	0	0	0	0	0	0	0	0	24
PIT	3	2	1	0	0	1	0	0	0	0	0	0	23
SEA	3	0	0	0	0	0	0	0	0	0	0	0	33
SF	3	0	0	0	0	2	0	0	0	0	0	0	41
